Columns,Importances,Absolute_Importances,Percentage_Importance
Revenutype_Revenue Impacting Case / Pending Revenue,5311.316805571099,5311.316805571099,0.24807124644380063
sourcesystem_NMEC,3699.103414342643,3699.103414342643,0.17277093954515652
Revenutype_Disputed Revenue,-2458.624966337606,2458.624966337606,0.11483294675577845
Queue_E&E,2107.1847447915234,2107.1847447915234,0.09841852129390884
StatusReason_Information Provided,1189.34063884112,1189.34063884112,0.05554954176601003
sourcesystem_Web,-1125.8849827453532,1125.8849827453532,0.05258577133433957
CountryProcessed_australia,791.660462053172,791.660462053172,0.036975425260984573
SubReason_Tax Exemption Order,790.6525791711229,790.6525791711229,0.036928350915399116
Queue_APOC,326.5961306559921,326.5961306559921,0.015254053219076009
sourcesystem_clt,289.89887826121264,289.89887826121264,0.013540065242857589
CountrySource_southamerica,274.6454858673799,274.6454858673799,0.012827637759777409
Source_Manual,267.46379832785016,267.46379832785016,0.012492208666631931
Queue_EOC,228.6173682721229,228.6173682721229,0.01067784084099062
SalesLocation_europe,-223.4803397430433,223.4803397430433,0.010437909931787566
CountryProcessed_southamerica,206.00736989421563,206.00736989421563,0.00962181449479027
SubReason_Future Pricing Only CPS,186.43193913243906,186.43193913243906,0.008707521168575082
SalesLocation_asia,-140.11433828628546,140.11433828628546,0.0065442035969062815
CountrySource_europe,123.66306159728116,123.66306159728116,0.0057758275306259875
Queue_LOC,-123.18909418385088,123.18909418385088,0.005753690329753303
IsMagnumCase,101.17177099561667,101.17177099561667,0.004725345569574011
sourcesystem_CLT,-98.12473458217066,98.12473458217066,0.004583030179866821
IsSOXCase,-94.84336659190011,94.84336659190011,0.004429770060543233
CountryProcessed_northamerica,93.91279671046641,93.91279671046641,0.004386306708828234
CountrySource_asia,90.21793887513708,90.21793887513708,0.004213734064002874
CountryProcessed_europe,86.0631805709829,86.0631805709829,0.004019681231360097
SubReason_True Up,83.77252986968053,83.77252986968053,0.003912693718575432
ROCName_APOC,-77.53681938298162,77.53681938298162,0.003621447587055746
SalesLocation_southamerica,71.52186101524195,71.52186101524195,0.003340511940733985
SubReason_Zero Usage Order,67.31772015919209,67.31772015919209,0.0031441526384058584
Created_on_Weekend,-62.41178149711585,62.41178149711585,0.0029150150509809213
Revenutype_Credit / Rebill,-53.91480270734112,53.91480270734112,0.002518153745856926
SalesLocation_australia,-51.72498239953023,51.72498239953023,0.002415875634207327
CountrySource_australia,-51.72498229317187,51.72498229317187,0.002415875629239736
Revenutype_Revenue Unknown,-49.55829565275612,49.55829565275612,0.0023146780025085864
CountrySource_northamerica,47.86778502582615,47.86778502582615,0.002235720731891791
SalesLocation_northamerica,47.86380375088769,47.86380375088769,0.0022355347818020913
SubReason_Basic Enterprise Commitment,40.2960684746539,40.2960684746539,0.0018820748788336082
CountryProcessed_asia,28.614179678526106,28.614179678526106,0.0013364586370320252
Source_Web,26.81770739234698,26.81770739234698,0.0012525523035279214
SubReason_Electronic Order Pend / Reject,25.296058460424977,25.296058460424977,0.001181481915334201
Revenutype_Non-revenue,-25.09434558840439,25.09434558840439,0.001172060680371636
SubReason_Manual Order Entry,24.556013128989367,24.556013128989367,0.0011469172349518175
Source_eAgreement (Phy),24.176194973656674,24.176194973656674,0.0011291773849928515
ROCName_EOC,-17.684467529819273,17.684467529819273,0.0008259736828757052
Revenutype_Current Revenue,-17.3505844811105,17.3505844811105,0.0008103792856496231
SubReason_Meteaop,15.909589805271251,15.909589805271251,0.0007430759485601522
Source_Soft Copy,15.686230819293016,15.686230819293016,0.0007326437065974953
IsSignature,9.39148524352974,9.39148524352974,0.00043864027238542326
StatusReason_Problem Solved,-6.211956281655939,6.211956281655939,0.0002901366636666082
Priority,-6.159149300526178,6.159149300526178,0.00028767025201967847
Queue_NAOC,5.428330966046757,5.428330966046757,0.00025353652929236347
IsGovernment,5.41326705086128,5.41326705086128,0.0002528329515633029
Complexity,-5.037755514814017,5.037755514814017,0.00023529424728123844
Rolling_Std,-2.1733693329926345,2.1733693329926345,0.00010150974968254455
Cases_created_within_past_8_hours,-1.8321710643739646,1.8321710643739646,8.557368657820877e-05
Source_Hard Copy,1.6965645463227346,1.6965645463227346,7.924002598323411e-05
StageName,-1.6865066843040935,1.6865066843040935,7.877026180631532e-05
Cases_resolved_within_past_8_hours,-1.5384818228713022,1.5384818228713022,7.185658799913691e-05
Concurrent_open_cases,-1.4981328154132312,1.4981328154132312,6.997204054333558e-05
Rolling_Mean,-1.4784065586487853,1.4784065586487853,6.905070271274455e-05
Revenutype_Future Billing,-1.3896941007290617,1.3896941007290617,6.490728389273448e-05
Seconds_left_Month,-1.2653743994823123,1.2653743994823123,5.9100787241385524e-05
Seconds_left_Qtr,-1.2398068624954228,1.2398068624954228,5.7906625604824344e-05
Rolling_Median,-1.0287950328968252,1.0287950328968252,4.805107198241479e-05
Seconds_left_Day,-0.8949700704254738,0.8949700704254738,4.180062101877785e-05
AmountinUSD,-0.17792994780711024,0.17792994780711024,8.310425747131487e-06
AssignedToGroup_BPO,2.610734976203112e-06,2.610734976203112e-06,1.2193742218536215e-10
AuditDuration,7.215040022019205e-07,7.215040022019205e-07,3.369868597419803e-11
AssignedToGroup_CRMT,5.577758424124384e-07,5.577758424124384e-07,2.6051571301180644e-11
HoldTypeName_Internal,-7.673861546209082e-13,7.673861546209082e-13,3.5841665419175586e-17
HoldTypeName_Customer,-5.977440764581843e-13,5.977440764581843e-13,2.7918334290630984e-17
HoldTypeName_3rd Party,2.913225216616411e-13,2.913225216616411e-13,1.3606558168390733e-17
HoldDuration,-2.1049828546892968e-13,2.1049828546892968e-13,9.831567944843303e-18
