Columns,Importances,Absolute_Importances,Percentage_Importance
sourcesystem_CLT,-19.522987958392264,19.522987958392264,0.2851072564802649
Priority,-5.009057536378943,5.009057536378943,0.07315061889053187
Complexity,-4.192222650282629,4.192222650282629,0.06122183248403407
Rolling_Std,-1.83484053180191,1.83484053180191,0.026795404024001292
Cases_resolved_within_past_8_hours,-1.7847346100701909,1.7847346100701909,0.026063673721816453
StageName,-1.783641898870434,1.783641898870434,0.026047716129005766
Cases_created_within_past_8_hours,-1.7236054033810664,1.7236054033810664,0.02517096301344051
Source_Web,-1.679054491638271,1.679054491638271,0.02452035623912128
Rolling_Mean,-1.6442376003700565,1.6442376003700565,0.024011901879071068
Concurrent_open_cases,-1.6104290320750059,1.6104290320750059,0.02351817273409231
IsMagnumCase,-1.4194953094388758,1.4194953094388758,0.020729839823865295
IsSOXCase,-1.4187563445558193,1.4187563445558193,0.020719048225217973
Seconds_left_Month,-1.3863220678348638,1.3863220678348638,0.0202453887796689
Seconds_left_Qtr,-1.2286703963056071,1.2286703963056071,0.01794309593161575
Revenutype_Current Revenue,-1.1358348193107195,1.1358348193107195,0.016587355882132334
StatusReason_Completed,-1.1226049181298257,1.1226049181298257,0.016394150782727036
Rolling_Median,-1.1042962785143415,1.1042962785143415,0.016126777467649376
CountryProcessed_northamerica,-0.9366588843471004,0.9366588843471004,0.013678656430214754
StatusReason_Problem Solved,-0.8885641082701283,0.8885641082701283,0.012976296233734492
SalesLocation_northamerica,-0.8854476693600054,0.8854476693600054,0.012930784791042055
CountrySource_northamerica,-0.8843416048473093,0.8843416048473093,0.012914632190867479
Seconds_left_Day,-0.8803563339351884,0.8803563339351884,0.012856432613092451
Queue_NAOC,-0.7858458424792506,0.7858458424792506,0.011476232667006793
ROCName_EOC,-0.7056990743156325,0.7056990743156325,0.010305795783288572
Queue_EOC,-0.705209654550488,0.705209654550488,0.010298648458975053
SubReason_Meteaop,-0.6746452052632234,0.6746452052632234,0.009852295354588883
