Columns,Importances
AmountinUSD,0.4236576911889904
SubReason_Basic Enterprise Commitment,0.129944117768476
StageName,0.04149411970464133
SubReason_Zero Usage Order,0.03553839719010406
CountryProcessed_northamerica,0.02622255123017156
Source_Web,0.02515805008278834
IsSignature,0.023593151322253945
IsGovernment,0.02047277070661306
StatusReason_Problem Solved,0.017602756776293447
SubReason_True Up,0.015999224863405548
Revenutype_Current Revenue,0.015497315286057871
Queue_Broken,0.015129282982500644
StatusReason_Completed,0.015054974475419852
Complexity,0.012765906594802147
Priority,0.012706644373133059
SubReason_Future Pricing Only CPS,0.01139884423655214
Revenutype_Future Billing,0.010030146739078103
Queue_NAOC,0.009687757870258086
Revenutype_Non-revenue,0.009651990530291601
Revenutype_Credit / Rebill,0.008159364050322
SubReason_Meteaop,0.007298168496720141
ROCName_APOC,0.006404984920150166
Queue_APOC,0.006161896216882821
Source_Soft Copy,0.005710294893057774
IsMagnumCase,0.005599957965360471
Revenutype_Revenue Unknown,0.005519012098864419
CountrySource_northamerica,0.005357246221282185
ROCName_EOC,0.005329200271726761
CountryProcessed_asia,0.004779560788755353
SubReason_Manual Order Entry,0.0045580268112768345
IsSOXCase,0.004545963300493755
SalesLocation_asia,0.0044883405137996065
CountrySource_asia,0.004020281651092138
Source_eAgreement (Phy),0.003532628946584466
Queue_EOC,0.0033299196576985334
SalesLocation_northamerica,0.003278067416244424
CountrySource_southamerica,0.0032602371345324694
CountryProcessed_europe,0.002943729149660397
CountrySource_australia,0.002937001816017097
CountryProcessed_southamerica,0.0026128815749166035
SalesLocation_southamerica,0.002598756840557451
SubReason_Tax Exemption Order,0.0024809990552228244
SalesLocation_australia,0.002399631777678713
Queue_LOC,0.002313103418793006
SubReason_Electronic Order Pend / Reject,0.002162153685435128
CountrySource_europe,0.002104897082964558
Source_Manual,0.002102800992422586
Source_Hard Copy,0.0020260899394557697
SalesLocation_europe,0.002007990046434353
Revenutype_Revenue Impacting Case / Pending Revenue,0.001298030221827189
Source_eAgreement (Ele),0.0011462570769005052
Queue_E&E,0.0010891496570590593
CountryProcessed_australia,0.0007830871073514423
sourcesystem_CLT,0.0006929142664979048
SubReason_P&H Electronic Order,0.0005680780567104994
sourcesystem_NMEC,0.0005560441258579472
CountryProcessed_other,0.00031180418843215177
Revenutype_Future OTRRR without OLS,0.0002614506515048313
Revenutype_Future OTRRR with OLS,0.00025418381915046827
Revenutype_New Work Sold,0.00023889143570364843
StatusReason_Ready for Audit,0.00019796189751029468
sourcesystem_clt,0.00019151573795196412
Revenutype_Disputed Revenue,0.00018380906329367876
SalesLocation_other,0.00010475930091015297
sourcesystem_Aplquest,0.00010409178422599217
CountrySource_other,8.997731416368484e-05
StatusReason_Information Provided,7.311327228124633e-05
StatusReason_Customer Hold,6.689227805852084e-05
sourcesystem_web,3.321098705496483e-05
StatusReason_Final Routing,2.7985061025778327e-05
StatusReason_Ready for Archiving,2.723111268213235e-05
sourcesystem_`,1.7917526663461047e-05
StatusReason_Reactivated,1.412649795205443e-05
Source_Fax,1.2682648857127866e-05
StatusReason_New Mail,6.571205043768204e-06
sourcesystem_NEMEC,5.871022414282999e-06
sourcesystem_Web,5.739142748883703e-06
StatusReason_New,4.713297700565571e-06
sourcesystem_Moritz Jürgensen,2.843416749980068e-06
sourcesystem_Current Revenue,2.1616948163579646e-07
