Columns,Importances,Absolute_Importances
Queue_Broken,28064071.890204396,28064071.890204396
SubReason_Tax Exemption Order,1126216.9646913393,1126216.9646913393
sourcesystem_NMEC,-1082505.5918345621,1082505.5918345621
sourcesystem_CLT,826766.5867797802,826766.5867797802
Source_Manual,555543.798427748,555543.798427748
Queue_LOC,-502503.7544050886,502503.7544050886
SubReason_Future Pricing Only CPS,348279.78319620143,348279.78319620143
Revenutype_Credit / Rebill,227551.17820077206,227551.17820077206
CountryProcessed_southamerica,223083.48519946358,223083.48519946358
Queue_NAOC,-142625.19064135535,142625.19064135535
SalesLocation_southamerica,114435.3273677288,114435.3273677288
SubReason_Manual Order Entry,-105179.76575365766,105179.76575365766
CountrySource_australia,102464.19744266418,102464.19744266418
SubReason_Electronic Order Pend / Reject,-101184.380733287,101184.380733287
SubReason_True Up,81170.16286103176,81170.16286103176
Priority,72403.16480564918,72403.16480564918
Complexity,63529.661114729475,63529.661114729475
Created_on_Weekend,-52535.54293634038,52535.54293634038
Revenutype_Future Billing,-48146.47602642497,48146.47602642497
SubReason_Basic Enterprise Commitment,47394.34789673891,47394.34789673891
StatusReason_Problem Solved,45337.50883917962,45337.50883917962
CountrySource_southamerica,44218.6850138097,44218.6850138097
Source_eAgreement (Phy),34944.827151432924,34944.827151432924
CountrySource_northamerica,34043.777838803675,34043.777838803675
CountryProcessed_asia,29224.835975981205,29224.835975981205
IsGovernment,21959.2872217317,21959.2872217317
ROCName_APOC,-21251.195070906226,21251.195070906226
CountryProcessed_northamerica,15251.756068688916,15251.756068688916
IsSignature,15165.199352752938,15165.199352752938
CountryProcessed_europe,-11947.195243355825,11947.195243355825
Source_Soft Copy,-7550.817629254368,7550.817629254368
SubReason_Zero Usage Order,7534.538526465352,7534.538526465352
Queue_EOC,-5867.7032673810545,5867.7032673810545
Revenutype_Non-revenue,-5392.718584779042,5392.718584779042
Revenutype_Revenue Unknown,3272.711161235277,3272.711161235277
StageName,-1125.2221888206154,1125.2221888206154
Source_Web,703.3832616591199,703.3832616591199
Cases_created_within_past_8_hours,5.755691180681404,5.755691180681404
Concurrent_open_cases,-4.9629563387080315,4.9629563387080315
Cases_resolved_within_past_8_hours,4.294497285692463,4.294497285692463
SalesLocation_asia,3.7297016903021722,3.7297016903021722
Rolling_Std,-1.8348401842305258,1.8348401842305258
Rolling_Mean,-1.6442342135574366,1.6442342135574366
IsMagnumCase,-1.4194953094388758,1.4194953094388758
IsSOXCase,-1.4187563445558193,1.4187563445558193
Seconds_left_Month,-1.3863220246462533,1.3863220246462533
Seconds_left_Qtr,-1.2286704027124646,1.2286704027124646
Revenutype_Current Revenue,-1.1358348193107195,1.1358348193107195
StatusReason_Completed,-1.1226049181298257,1.1226049181298257
Rolling_Median,-1.1042970436424633,1.1042970436424633
SalesLocation_northamerica,-0.8854476693600054,0.8854476693600054
Seconds_left_Day,-0.8803526319262374,0.8803526319262374
ROCName_EOC,-0.7056990743156325,0.7056990743156325
SubReason_Meteaop,-0.6746452052632234,0.6746452052632234
SalesLocation_europe,-0.6032837567869893,0.6032837567869893
CountrySource_europe,-0.6023937842963624,0.6023937842963624
CountrySource_asia,-0.46610823409477536,0.46610823409477536
Queue_APOC,-0.46414974519889,0.46414974519889
SalesLocation_australia,-0.2080366979769554,0.2080366979769554
AmountinUSD,-0.12374016743969675,0.12374016743969675
Source_Hard Copy,-0.12067691274048466,0.12067691274048466
CountryProcessed_australia,-0.054159305875980036,0.054159305875980036
CountrySource_other,-0.03284304396118157,0.03284304396118157
Revenutype_Revenue Impacting Case / Pending Revenue,-0.03103196635636187,0.03103196635636187
Source_eAgreement (Ele),-0.02843907613505346,0.02843907613505346
Revenutype_Future OTRRR with OLS,-0.027753162045847945,0.027753162045847945
CountryProcessed_other,-0.02704991542109735,0.02704991542109735
SubReason_P&H Electronic Order,-0.024032629622845844,0.024032629622845844
sourcesystem_Aplquest,-0.021494196007305365,0.021494196007305365
Revenutype_Disputed Revenue,-0.020578729779690597,0.020578729779690597
StatusReason_Customer Hold,-0.020578729779690597,0.020578729779690597
StatusReason_Information Provided,-0.01962067129900481,0.01962067129900481
Queue_E&E,-0.01861344487976854,0.01861344487976854
Revenutype_Future OTRRR without OLS,-0.01754858635927319,0.01754858635927319
sourcesystem_web,-0.012407769199573766,0.012407769199573766
SalesLocation_other,-0.012407769199573766,0.012407769199573766
sourcesystem_clt,-0.008773280079294957,0.008773280079294957
Revenutype_New Work Sold,-0.008773280079294957,0.008773280079294957
Source_Fax,-0.008773280079294956,0.008773280079294956
StatusReason_Ready for Audit,-0.008773280079294956,0.008773280079294956
StatusReason_New Mail,-0.008773280079294956,0.008773280079294956
StatusReason_Ready for Archiving,-0.008773280079294956,0.008773280079294956
sourcesystem_`,-0.006203526466421193,0.006203526466421193
sourcesystem_Web,-0.006203526466421193,0.006203526466421193
sourcesystem_NEMEC,-0.006203526466421193,0.006203526466421193
sourcesystem_Moritz Jürgensen,-0.006203526466421193,0.006203526466421193
sourcesystem_Current Revenue,-0.006203526466421193,0.006203526466421193
StatusReason_Reactivated,-0.006203526466421193,0.006203526466421193
StatusReason_Final Routing,-0.006203526466421193,0.006203526466421193
StatusReason_New,-0.006203526466421193,0.006203526466421193
AuditDuration,0.0,0.0
HoldDuration,0.0,0.0
AssignedToGroup_CRMT,0.0,0.0
HoldTypeName_3rd Party,0.0,0.0
HoldTypeName_Customer,0.0,0.0
HoldTypeName_Internal,0.0,0.0
AssignedToGroup_BPO,0.0,0.0
