Columns,Importances,Absolute_Importances
StatusReason_Ready for Audit,96577178.51697533,96577178.51697533
sourcesystem_`,48858840.776123635,48858840.776123635
StatusReason_New,-47365804.877042785,47365804.877042785
StatusReason_3rd Party Hold,-32222636.891496174,32222636.891496174
StatusReason_Reactivated,-30418196.538155023,30418196.538155023
sourcesystem_NEMEC,-23083830.36553047,23083830.36553047
Queue_Broken,16782915.968485944,16782915.968485944
StatusReason_New Mail,-13338581.459474657,13338581.459474657
sourcesystem_web,-13000525.339436088,13000525.339436088
StatusReason_Final Routing,-12593406.41867428,12593406.41867428
StatusReason_Ready for Archiving,-11805442.442604726,11805442.442604726
sourcesystem_clt,11720206.053395778,11720206.053395778
SalesLocation_other,-8577959.942029504,8577959.942029504
Revenutype_Advanced Billing,-8224488.428933112,8224488.428933112
Revenutype_New Work Sold,7695379.956636971,7695379.956636971
StatusReason_Information Provided,7194464.694411538,7194464.694411538
Source_Fax,-6128923.57585328,6128923.57585328
Queue_E&E,-5956530.263543094,5956530.263543094
sourcesystem_Web,5600700.88760466,5600700.88760466
sourcesystem_Current Revenue,5491478.98866935,5491478.98866935
sourcesystem_AplQuest,5169080.468538573,5169080.468538573
sourcesystem_Moritz Jürgensen,-4576595.077153291,4576595.077153291
StatusReason_Customer Hold,-4041207.2091700956,4041207.2091700956
sourcesystem_NMEC,-3708893.988109218,3708893.988109218
sourcesystem_Aplquest,-2470592.28549856,2470592.28549856
CountrySource_other,-2274279.6631935267,2274279.6631935267
SubReason_Tax Exemption Order,1754975.5716468354,1754975.5716468354
SubReason_P&H Electronic Order,-1159071.2164273683,1159071.2164273683
Revenutype_Future OTRRR with OLS,-1109731.9217216836,1109731.9217216836
SalesLocation_africa,1090765.467890379,1090765.467890379
Revenutype_Disputed Revenue,898449.729473331,898449.729473331
CountrySource_africa,-858687.9032538912,858687.9032538912
Queue_LOC,-802371.9551938697,802371.9551938697
CountrySource_australia,758750.2811193413,758750.2811193413
Revenutype_Future OTRRR without OLS,-650804.0316528382,650804.0316528382
Source_Manual,599800.9272003958,599800.9272003958
ROCName_APOC,-508541.8039551871,508541.8039551871
Source_eAgreement (Ele),455049.014434701,455049.014434701
SalesLocation_southamerica,-452811.4290524408,452811.4290524408
Queue_APOC,448748.3859627791,448748.3859627791
SubReason_Electronic Order Pend / Reject,-405696.79273488955,405696.79273488955
CountryProcessed_other,-363993.7842025443,363993.7842025443
SalesLocation_asia,338278.8459443468,338278.8459443468
sourcesystem_CLT,325637.2688553026,325637.2688553026
ROCName_AOC,316278.44494461134,316278.44494461134
Revenutype_Revenue Impacting Case / Pending Revenue,305605.5117870884,305605.5117870884
SubReason_Future Pricing Only CPS,305576.0581656012,305576.0581656012
Numberofreactivations,298307.637545445,298307.637545445
CountrySource_southamerica,292461.81251592067,292461.81251592067
CountryProcessed_southamerica,290306.89258232014,290306.89258232014
SalesLocation_australia,-283739.2017225695,283739.2017225695
SalesLocation_northamerica,-275729.7386653465,275729.7386653465
SalesLocation_europe,249578.86065932104,249578.86065932104
Source_E-mail,-229474.21067664848,229474.21067664848
Queue_NAOC,-222045.35437623432,222045.35437623432
CountryProcessed_australia,-217963.92387609475,217963.92387609475
CountrySource_northamerica,180652.72591074376,180652.72591074376
StatusReason_Problem Solved,174942.40189917412,174942.40189917412
Revenutype_Credit / Rebill,166062.86021220085,166062.86021220085
StatusReason_Completed,145862.3047056277,145862.3047056277
CountrySource_asia,-142226.7663836622,142226.7663836622
SubReason_Manual Order Entry,-134646.95320046923,134646.95320046923
Priority,116862.1688670838,116862.1688670838
SubReason_Additional Product Order,-112953.73272882953,112953.73272882953
CountrySource_europe,-110097.71291652207,110097.71291652207
Queue_AOC,-96899.19985461788,96899.19985461788
Revenutype_Future Billing,-80570.15579054313,80570.15579054313
ROCName_EOC,76347.32403952187,76347.32403952187
Created_on_Weekend,-71228.77546321107,71228.77546321107
Queue_EOC,-66740.12288228273,66740.12288228273
Source_eAgreement (Phy),-52564.470379206185,52564.470379206185
CountryProcessed_europe,-50299.3413447393,50299.3413447393
Complexity,47399.585174318876,47399.585174318876
Revenutype_Revenue Unknown,-45750.11050150426,45750.11050150426
SubReason_True Up,41659.27609457649,41659.27609457649
CountryProcessed_asia,-41432.276168711396,41432.276168711396
Source_Hard Copy,35919.30083930979,35919.30083930979
SubReason_Zero Usage Order,-32349.07178700843,32349.07178700843
SubReason_Basic Enterprise Commitment,30947.832342029153,30947.832342029153
CountryProcessed_northamerica,29430.944827577012,29430.944827577012
CountryProcessed_africa,22132.26994922056,22132.26994922056
Revenutype_Non-revenue,-22064.087975077746,22064.087975077746
Source_Web,-21680.331785045903,21680.331785045903
Source_Soft Copy,-19659.694314157532,19659.694314157532
SubReason_Meteaop,-17000.80119679144,17000.80119679144
Revenutype_Current Revenue,-12989.260382675546,12989.260382675546
IsSOXCase,-4770.854032514751,4770.854032514751
StageName,742.5342393912549,742.5342393912549
Concurrent_open_cases,-4.812246939532683,4.812246939532683
Cases_created_within_past_8_hours,2.7059842290595277,2.7059842290595277
Rolling_Std,-1.9362416032316285,1.9362416032316285
Cases_resolved_within_past_8_hours,1.7234266690323587,1.7234266690323587
Rolling_Mean,-1.7051763734397547,1.7051763734397547
Seconds_left_Month,-1.3883575256243508,1.3883575256243508
Seconds_left_Qtr,-1.2279672847497864,1.2279672847497864
Rolling_Median,-1.1390053092043766,1.1390053092043766
Seconds_left_Day,-0.879770251545888,0.879770251545888
Seconds_left_Year,-0.8228595201973159,0.8228595201973159
AmountinUSD,-0.12297907842578454,0.12297907842578454
