Columns,Importances,Absolute_Importances
sourcesystem_`,48078954.23545522,48078954.23545522
StatusReason_Ready for Audit,45552918.13450671,45552918.13450671
sourcesystem_NEMEC,-39559777.68619245,39559777.68619245
Queue_Broken,34232995.46253403,34232995.46253403
StatusReason_New Mail,-27061965.412083045,27061965.412083045
Revenutype_New Work Sold,21777871.152451634,21777871.152451634
StatusReason_New,-21015418.420422666,21015418.420422666
sourcesystem_Moritz Jürgensen,-17915288.548160054,17915288.548160054
SalesLocation_other,-17327356.416045673,17327356.416045673
sourcesystem_web,-15038081.299319552,15038081.299319552
StatusReason_Final Routing,13895016.489521552,13895016.489521552
StatusReason_Information Provided,8475427.564319953,8475427.564319953
StatusReason_Reactivated,-7416694.216114199,7416694.216114199
sourcesystem_NMEC,-5627014.081102233,5627014.081102233
sourcesystem_Aplquest,-5046708.196114257,5046708.196114257
Revenutype_Disputed Revenue,4158627.3452169206,4158627.3452169206
CountrySource_other,3471597.0264698854,3471597.0264698854
Queue_E&E,3147182.5540511,3147182.5540511
CountrySource_australia,1889259.193876486,1889259.193876486
SubReason_Tax Exemption Order,1857995.3268333813,1857995.3268333813
Revenutype_Revenue Impacting Case / Pending Revenue,1855696.5155045206,1855696.5155045206
SalesLocation_australia,-1407029.51414788,1407029.51414788
Revenutype_Future OTRRR with OLS,-1355345.6900164569,1355345.6900164569
Revenutype_Future OTRRR without OLS,1282488.8352147513,1282488.8352147513
sourcesystem_CLT,-1174517.4264717982,1174517.4264717982
StatusReason_Ready for Archiving,1102387.7698023424,1102387.7698023424
CountryProcessed_australia,-1034509.8228566173,1034509.8228566173
CountrySource_southamerica,1004233.1612111287,1004233.1612111287
CountryProcessed_other,-998860.5267886198,998860.5267886198
SalesLocation_southamerica,-792590.1954763798,792590.1954763798
Queue_APOC,778382.7528100244,778382.7528100244
ROCName_APOC,-774426.6289188401,774426.6289188401
Source_Manual,745684.4544325821,745684.4544325821
StatusReason_Customer Hold,-723114.1230018244,723114.1230018244
sourcesystem_clt,550370.1167812184,550370.1167812184
Queue_LOC,-525132.8960847982,525132.8960847982
CountrySource_northamerica,514666.5683728817,514666.5683728817
SalesLocation_northamerica,-462278.0212462509,462278.0212462509
