Columns,Importances
Concurrent_open_cases,0.4506572075198961
Seconds_left_Qtr,0.15725715111421978
Seconds_left_Year,0.14767414201154028
Seconds_left_Month,0.10471326591562846
Created_on_Weekend,0.026276777543321184
Rolling_Median,0.02499873070534374
Rolling_Mean,0.0200455670137582
Seconds_left_Day,0.014781371233222953
Rolling_Std,0.013436406408016292
Cases_resolved_within_past_8_hours,0.012274098636363896
Source_Soft Copy,0.004427631437001863
AmountinUSD,0.0038906899026933954
Source_eAgreement (Phy),0.0038430991679905997
Queue_EOC,0.0033744828307912837
SubReason_Basic Enterprise Commitment,0.0031276432578821282
SubReason_Zero Usage Order,0.0025293209356855627
Queue_NAOC,0.0013113276527172463
SubReason_Future Pricing Only CPS,0.001117400907813972
IsSignature,0.0010840782094337451
ROCName_EOC,0.0008929151929374307
Cases_created_within_past_8_hours,0.0007881926600482518
IsMagnumCase,0.0006731652844798143
Queue_Broken,0.0004344659828675955
IsSOXCase,0.00039086847634630333
StatusReason_New Mail,0.0
Source_Fax,0.0
Source_Hard Copy,0.0
StatusReason_Problem Solved,0.0
Source_Manual,0.0
AssignedToGroup_CRMT,0.0
Source_Web,0.0
StatusReason_Completed,0.0
StageName,0.0
StatusReason_New,0.0
StatusReason_Information Provided,0.0
Source_eAgreement (Ele),0.0
StatusReason_Ready for Archiving,0.0
StatusReason_Final Routing,0.0
StatusReason_Customer Hold,0.0
StatusReason_Reactivated,0.0
CountryProcessed_other,0.0
StatusReason_Ready for Audit,0.0
sourcesystem_Current Revenue,0.0
sourcesystem_clt,0.0
sourcesystem_`,0.0
sourcesystem_Web,0.0
sourcesystem_NMEC,0.0
sourcesystem_NEMEC,0.0
sourcesystem_Moritz Jürgensen,0.0
sourcesystem_CLT,0.0
SubReason_Electronic Order Pend / Reject,0.0
sourcesystem_Aplquest,0.0
SubReason_True Up,0.0
SubReason_Tax Exemption Order,0.0
SubReason_P&H Electronic Order,0.0
SubReason_Meteaop,0.0
SubReason_Manual Order Entry,0.0
AuditDuration,0.0
SalesLocation_other,0.0
Complexity,0.0
HoldTypeName_3rd Party,0.0
Queue_LOC,0.0
Queue_E&E,0.0
Queue_APOC,0.0
Priority,0.0
IsGovernment,0.0
HoldTypeName_Internal,0.0
HoldTypeName_Customer,0.0
HoldDuration,0.0
Revenutype_Credit / Rebill,0.0
CountryProcessed_northamerica,0.0
CountrySource_southamerica,0.0
CountrySource_other,0.0
CountrySource_northamerica,0.0
CountrySource_europe,0.0
CountrySource_australia,0.0
CountrySource_asia,0.0
ROCName_APOC,0.0
Revenutype_Current Revenue,0.0
CountryProcessed_asia,0.0
AssignedToGroup_BPO,0.0
SalesLocation_southamerica,0.0
CountryProcessed_southamerica,0.0
SalesLocation_northamerica,0.0
SalesLocation_europe,0.0
SalesLocation_australia,0.0
SalesLocation_asia,0.0
CountryProcessed_australia,0.0
CountryProcessed_europe,0.0
Revenutype_Disputed Revenue,0.0
Revenutype_Revenue Unknown,0.0
Revenutype_Revenue Impacting Case / Pending Revenue,0.0
Revenutype_Non-revenue,0.0
Revenutype_New Work Sold,0.0
Revenutype_Future OTRRR without OLS,0.0
Revenutype_Future OTRRR with OLS,0.0
Revenutype_Future Billing,0.0
sourcesystem_web,0.0
