Columns,Importances
Concurrent_open_cases,0.8940707122804278
Seconds_left_Qtr,0.03806066506528011
Seconds_left_Month,0.02200882882875578
Seconds_left_Year,0.015273297613271458
Rolling_Std,0.00893266862148847
Rolling_Median,0.007300993332390786
Rolling_Mean,0.004700429296353446
Seconds_left_Day,0.0028326977344895394
Created_on_Weekend,0.0014559822715196186
Cases_created_within_past_8_hours,0.001335565357157502
Cases_resolved_within_past_8_hours,0.0012392755475907607
AmountinUSD,0.00047554571216318944
StageName,0.0001611711689272455
SubReason_Basic Enterprise Commitment,0.00012088404946574452
Queue_NAOC,0.00011874557481087934
SubReason_Meteaop,8.505619395863967e-05
CountryProcessed_northamerica,7.754921930186378e-05
Revenutype_Current Revenue,7.639445302857593e-05
SubReason_Zero Usage Order,7.569365123463681e-05
Source_Soft Copy,7.041261570026614e-05
Queue_EOC,7.013420898691728e-05
StatusReason_Completed,6.816012669208186e-05
Source_Web,6.428462034186523e-05
Source_eAgreement (Phy),6.235950295343959e-05
StatusReason_Problem Solved,6.062103396977861e-05
Revenutype_Non-revenue,5.937131308544274e-05
IsSignature,5.9234128823615386e-05
IsMagnumCase,5.873832303113801e-05
ROCName_EOC,5.8102736523363166e-05
CountrySource_northamerica,5.303056777177997e-05
SubReason_True Up,5.2136690086806e-05
IsSOXCase,5.0149267269392636e-05
IsGovernment,4.992825283572903e-05
SalesLocation_northamerica,4.875583393720586e-05
Queue_APOC,4.4840038321048846e-05
Revenutype_Future Billing,3.9172820384859435e-05
SalesLocation_europe,3.691535728226891e-05
CountryProcessed_europe,3.676820118384731e-05
Complexity,3.615708567165506e-05
ROCName_APOC,3.5209859069549026e-05
SubReason_Manual Order Entry,3.5173031310037425e-05
Revenutype_Credit / Rebill,3.435480583693131e-05
Priority,3.393367141851722e-05
CountryProcessed_asia,3.3383884660541866e-05
SalesLocation_asia,3.308172674971248e-05
CountrySource_europe,2.996803830349107e-05
CountrySource_southamerica,2.7972211778439982e-05
CountrySource_asia,2.6427883351605987e-05
Queue_LOC,2.4839644935306613e-05
CountrySource_australia,2.396249093883676e-05
Source_Manual,2.214314383994528e-05
SalesLocation_southamerica,2.1716810911097416e-05
SalesLocation_australia,2.148429987000493e-05
SubReason_Future Pricing Only CPS,2.046296230986151e-05
Revenutype_Revenue Unknown,1.5166534980157244e-05
Source_Hard Copy,1.396078037805283e-05
CountryProcessed_southamerica,1.3165219903022202e-05
SubReason_Tax Exemption Order,1.3019223665017719e-05
SubReason_Electronic Order Pend / Reject,1.1451007673630245e-05
Queue_Broken,6.0693146475449166e-06
StatusReason_Information Provided,5.76156787701165e-06
Revenutype_Future OTRRR without OLS,3.943520845803636e-06
sourcesystem_NMEC,2.6172634611527186e-06
CountrySource_other,1.8500567293630374e-06
CountryProcessed_other,1.7201887211024843e-06
sourcesystem_CLT,1.6682142582659355e-06
Revenutype_Future OTRRR with OLS,1.559805726940218e-06
CountryProcessed_australia,6.543479950960505e-07
Queue_E&E,4.882460565183413e-07
Revenutype_Revenue Impacting Case / Pending Revenue,4.439861810658062e-07
Source_eAgreement (Ele),3.65744690399133e-07
SubReason_P&H Electronic Order,1.72432464044072e-07
Revenutype_Disputed Revenue,1.6722961241375208e-07
sourcesystem_Aplquest,8.170399217557456e-08
sourcesystem_web,6.121200820506612e-08
StatusReason_Customer Hold,2.9707384359207753e-08
SalesLocation_other,2.288883512896915e-08
sourcesystem_NEMEC,1.0212079774808133e-08
Source_Fax,2.8861448943352166e-09
StatusReason_Ready for Archiving,1.3891691978711002e-09
sourcesystem_clt,1.1521987592938976e-09
sourcesystem_Moritz Jürgensen,7.501801884858982e-10
StatusReason_Ready for Audit,2.3853773231653725e-10
Revenutype_New Work Sold,1.1850291236613605e-11
AuditDuration,0.0
AssignedToGroup_BPO,0.0
StatusReason_Reactivated,0.0
HoldTypeName_Internal,0.0
HoldTypeName_Customer,0.0
HoldTypeName_3rd Party,0.0
sourcesystem_Current Revenue,0.0
AssignedToGroup_CRMT,0.0
StatusReason_Final Routing,0.0
HoldDuration,0.0
sourcesystem_Web,0.0
sourcesystem_`,0.0
StatusReason_New,0.0
StatusReason_New Mail,0.0
