Columns,Importances,Absolute_Importances
Queue_Broken,32643532.63113884,32643532.63113884
SalesLocation_other,-19534572.872755017,19534572.872755017
CountrySource_other,2788589.163098341,2788589.163098341
CountrySource_australia,2149479.236310793,2149479.236310793
SalesLocation_australia,-1689329.946446356,1689329.946446356
Queue_E&E,-908188.6861092051,908188.6861092051
CountrySource_southamerica,902649.8531094347,902649.8531094347
SalesLocation_southamerica,-762318.19130477,762318.19130477
CountryProcessed_australia,-756798.4224271303,756798.4224271303
Queue_LOC,-740522.0891289294,740522.0891289294
ROCName_APOC,-588506.0433126906,588506.0433126906
Queue_APOC,529529.6807313277,529529.6807313277
CountrySource_northamerica,501874.7459732961,501874.7459732961
SalesLocation_northamerica,-496904.84993914136,496904.84993914136
CountrySource_asia,361626.5770282948,361626.5770282948
CountrySource_europe,285190.6319256278,285190.6319256278
SalesLocation_europe,-246182.20180082973,246182.20180082973
CountryProcessed_southamerica,223080.58725033377,223080.58725033377
Queue_NAOC,-186049.57794845605,186049.57794845605
SalesLocation_asia,-170794.73852107144,170794.73852107144
CountryProcessed_asia,-140262.57141936335,140262.57141936335
Queue_EOC,-139780.51798617386,139780.51798617386
CountryProcessed_other,104845.09009725103,104845.09009725103
Created_on_Weekend,-75902.34984732691,75902.34984732691
ROCName_EOC,67139.7079873134,67139.7079873134
CountryProcessed_europe,-44247.56641513304,44247.56641513304
CountryProcessed_northamerica,37234.8873717227,37234.8873717227
Concurrent_open_cases,-5.1886179933995225,5.1886179933995225
Cases_created_within_past_8_hours,4.500022292697261,4.500022292697261
Cases_resolved_within_past_8_hours,4.4356777850112366,4.4356777850112366
Rolling_Std,-1.856832906258966,1.856832906258966
Rolling_Mean,-1.670445912267918,1.670445912267918
Seconds_left_Month,-1.3302311234850115,1.3302311234850115
Rolling_Median,-1.1225457388406541,1.1225457388406541
Seconds_left_Day,-0.8793101688949315,0.8793101688949315
