Columns,Importances,Absolute_Importances
Queue_Broken,27646152.545853198,27646152.545853198
CountryProcessed_other,4680857.543225487,4680857.543225487
CountryProcessed_australia,3136083.7968888953,3136083.7968888953
Queue_E&E,1985723.6400012963,1985723.6400012963
CountrySource_other,-1958821.718707478,1958821.718707478
SalesLocation_australia,-1740567.5923023017,1740567.5923023017
Queue_LOC,-1152199.9484235228,1152199.9484235228
CountrySource_australia,917894.4673617741,917894.4673617741
CountrySource_europe,750860.6770279264,750860.6770279264
SalesLocation_europe,-653819.7477965332,653819.7477965332
SalesLocation_asia,-318039.371713918,318039.371713918
CountryProcessed_asia,306118.53588565235,306118.53588565235
Queue_NAOC,-266004.1877162064,266004.1877162064
Created_on_Weekend,-240641.62510719599,240641.62510719599
SalesLocation_southamerica,226093.19855579938,226093.19855579938
CountryProcessed_southamerica,180502.84748052797,180502.84748052797
Queue_APOC,-177616.89223677374,177616.89223677374
CountryProcessed_europe,-169203.93947744125,169203.93947744125
Queue_EOC,-118494.26921939448,118494.26921939448
CountrySource_northamerica,80740.53457996718,80740.53457996718
CountrySource_asia,-64219.7711000557,64219.7711000557
CountrySource_southamerica,-61400.46234534104,61400.46234534104
SalesLocation_northamerica,-44541.69473602382,44541.69473602382
ROCName_APOC,-41904.06994955582,41904.06994955582
ROCName_EOC,-22807.73308510542,22807.73308510542
CountryProcessed_northamerica,-2905.2444486406052,2905.2444486406052
Cases_resolved_within_past_8_hours,-35.110731620846835,35.110731620846835
Concurrent_open_cases,-7.220889940334662,7.220889940334662
Cases_created_within_past_8_hours,2.045673222897145,2.045673222897145
Seconds_left_Qtr,-1.5752598179985997,1.5752598179985997
Seconds_left_Month,-1.2999192210037671,1.2999192210037671
Seconds_left_Day,-0.8835987681012365,0.8835987681012365
SalesLocation_other,0.0,0.0
