Columns,Importances,Absolute_Importances
Queue_Broken,28752633.554947734,28752633.554947734
Queue_LOC,-639537.162122435,639537.162122435
SalesLocation_southamerica,189077.30252942478,189077.30252942478
Queue_NAOC,-171338.60841347856,171338.60841347856
CountryProcessed_southamerica,118885.64601013347,118885.64601013347
Created_on_Weekend,-96057.16743512216,96057.16743512216
CountrySource_australia,87640.61944360194,87640.61944360194
Queue_EOC,-57984.63282730738,57984.63282730738
ROCName_APOC,-38124.20628620753,38124.20628620753
CountrySource_northamerica,34682.02247485437,34682.02247485437
SalesLocation_europe,-24243.17650579618,24243.17650579618
CountrySource_asia,3239.2423270475147,3239.2423270475147
Concurrent_open_cases,-5.215257006447588,5.215257006447588
Cases_created_within_past_8_hours,1.9258210755965806,1.9258210755965806
Rolling_Std,-1.856832782193224,1.856832782193224
Rolling_Mean,-1.670445903083075,1.670445903083075
Seconds_left_Year,-1.412742547038205,1.412742547038205
Seconds_left_Month,-1.3302311250194758,1.3302311250194758
Seconds_left_Qtr,-1.1901291037903834,1.1901291037903834
Rolling_Median,-1.1225457647219073,1.1225457647219073
CountryProcessed_northamerica,-0.9268119114638984,0.9268119114638984
Cases_resolved_within_past_8_hours,0.8881759912211061,0.8881759912211061
Seconds_left_Day,-0.8793099745447818,0.8793099745447818
SalesLocation_northamerica,-0.8780771115866618,0.8780771115866618
ROCName_EOC,-0.7103365051742859,0.7103365051742859
CountryProcessed_europe,-0.6135774913758825,0.6135774913758825
CountrySource_europe,-0.6058593294367323,0.6058593294367323
CountryProcessed_asia,-0.5271978501849061,0.5271978501849061
SalesLocation_asia,-0.4717887136182835,0.4717887136182835
Queue_APOC,-0.46729304180411846,0.46729304180411846
CountrySource_southamerica,-0.23106175114368807,0.23106175114368807
SalesLocation_australia,-0.2102856526496908,0.2102856526496908
CountryProcessed_australia,-0.05212097767490334,0.05212097767490334
CountrySource_other,-0.032297073094106066,0.032297073094106066
CountryProcessed_other,-0.02740097409149767,0.02740097409149767
Queue_E&E,-0.018263507434294623,0.018263507434294623
SalesLocation_other,-0.01118290292980262,0.01118290292980262
