Columns,Importances
Concurrent_open_cases,0.4605475728956126
Seconds_left_Qtr,0.18868284695396575
Seconds_left_Year,0.12380666133883446
Seconds_left_Month,0.11098608547277557
Rolling_Mean,0.0269283845584117
Rolling_Std,0.023930614335192165
Created_on_Weekend,0.022356713549211597
Rolling_Median,0.01872612940898142
Seconds_left_Day,0.012838403027309951
Cases_resolved_within_past_8_hours,0.011081881140521546
Cases_created_within_past_8_hours,0.00011470731918331204
CountrySource_europe,0.0
CountrySource_northamerica,0.0
CountryProcessed_asia,0.0
CountryProcessed_australia,0.0
CountryProcessed_europe,0.0
SalesLocation_southamerica,0.0
SalesLocation_other,0.0
SalesLocation_northamerica,0.0
SalesLocation_europe,0.0
SalesLocation_australia,0.0
SalesLocation_asia,0.0
CountryProcessed_northamerica,0.0
CountryProcessed_other,0.0
CountryProcessed_southamerica,0.0
ROCName_EOC,0.0
ROCName_APOC,0.0
Queue_NAOC,0.0
Queue_LOC,0.0
Queue_EOC,0.0
CountrySource_asia,0.0
Queue_Broken,0.0
Queue_APOC,0.0
CountrySource_australia,0.0
CountrySource_southamerica,0.0
CountrySource_other,0.0
Queue_E&E,0.0
