Columns,Importances,Absolute_Importances
Queue_Broken,41117276.58969207,41117276.58969207
SalesLocation_other,-9757616.578263663,9757616.578263663
CountrySource_australia,2480859.212567502,2480859.212567502
CountrySource_other,1979114.2665209293,1979114.2665209293
SalesLocation_australia,-1959336.8458875192,1959336.8458875192
Queue_E&E,-1418824.4054471364,1418824.4054471364
CountrySource_southamerica,747333.381779618,747333.381779618
Queue_LOC,-700585.4907379232,700585.4907379232
SalesLocation_southamerica,-647648.3756775911,647648.3756775911
ROCName_APOC,-565587.0574650003,565587.0574650003
CountryProcessed_other,545091.738375113,545091.738375113
Queue_APOC,526928.0269947408,526928.0269947408
SalesLocation_northamerica,-467360.31300170993,467360.31300170993
CountrySource_northamerica,459600.0614562646,459600.0614562646
CountryProcessed_australia,-458092.6348626356,458092.6348626356
CountryProcessed_southamerica,441854.42734245956,441854.42734245956
CountrySource_asia,370815.179588716,370815.179588716
CountrySource_europe,302351.73740475543,302351.73740475543
SalesLocation_europe,-240985.10099156637,240985.10099156637
SalesLocation_asia,-180481.42913516128,180481.42913516128
Queue_NAOC,-174575.44694632024,174575.44694632024
Queue_EOC,-147265.38906132441,147265.38906132441
CountryProcessed_asia,-144130.9071247253,144130.9071247253
ROCName_EOC,103370.11917800731,103370.11917800731
Created_on_Weekend,-87844.47000701382,87844.47000701382
CountryProcessed_northamerica,79509.82092194153,79509.82092194153
CountryProcessed_europe,-67494.91511405614,67494.91511405614
Seconds_left_Year,-56.58444012641593,56.58444012641593
Seconds_left_Qtr,-12.932110926580282,12.932110926580282
Cases_created_within_past_8_hours,11.861513115488732,11.861513115488732
Concurrent_open_cases,-6.11107786844915,6.11107786844915
Seconds_left_Month,-3.1424340985315626,3.1424340985315626
Cases_resolved_within_past_8_hours,2.5712261020322384,2.5712261020322384
Rolling_Std,-1.9149598580347569,1.9149598580347569
Rolling_Mean,-1.729098896172092,1.729098896172092
Rolling_Median,-0.9878247856645007,0.9878247856645007
Seconds_left_Day,-0.898160413054712,0.898160413054712
