Columns,Importances
Concurrent_open_cases,0.8978683892825653
Seconds_left_Qtr,0.040394748570127224
Seconds_left_Month,0.027847314966514693
Rolling_Std,0.00908527205913625
Rolling_Median,0.008191704943163724
Cases_resolved_within_past_8_hours,0.004884668876740109
Seconds_left_Day,0.00340859828345056
Rolling_Mean,0.003174369741366847
Cases_created_within_past_8_hours,0.002300128644476096
Created_on_Weekend,0.00162627386540875
Queue_NAOC,0.0001820500846088776
CountryProcessed_northamerica,0.00011705863098925304
Queue_EOC,8.50018075246868e-05
SalesLocation_northamerica,8.069791632283308e-05
ROCName_EOC,6.895880381775671e-05
CountrySource_northamerica,6.846705299635365e-05
Queue_APOC,6.446369464199321e-05
CountryProcessed_asia,5.806639889715527e-05
ROCName_APOC,5.4202157004102706e-05
Queue_LOC,4.7234866605856475e-05
SalesLocation_asia,4.7003991330677415e-05
CountrySource_asia,4.671342089766044e-05
CountryProcessed_europe,4.559294445879372e-05
CountrySource_europe,4.542107207503967e-05
SalesLocation_europe,4.2255930638650725e-05
CountrySource_southamerica,4.0807651338217564e-05
CountrySource_australia,3.428292804313925e-05
SalesLocation_southamerica,3.425051136184734e-05
SalesLocation_australia,3.226668501198163e-05
CountryProcessed_southamerica,1.6813027079628995e-05
Queue_Broken,2.425187662521924e-06
Queue_E&E,1.9456103630455713e-06
CountrySource_other,1.0357428110587454e-06
CountryProcessed_australia,7.614691898844944e-07
CountryProcessed_other,7.374691541560512e-07
SalesLocation_other,1.5712225289432678e-08
