Columns,Importances,Absolute_Importances
Queue_Broken,24035131.72509551,24035131.72509551
CountrySource_other,6780779.034993822,6780779.034993822
Queue_E&E,-6320811.728757899,6320811.728757899
CountryProcessed_other,-5170882.80428571,5170882.80428571
SalesLocation_australia,-1904193.0913089518,1904193.0913089518
CountrySource_australia,1665323.4546456854,1665323.4546456854
CountryProcessed_australia,1502705.3014582703,1502705.3014582703
Queue_LOC,-1049028.019512676,1049028.019512676
CountrySource_europe,820591.8631630362,820591.8631630362
SalesLocation_europe,-723460.7657048557,723460.7657048557
SalesLocation_southamerica,250754.6371441772,250754.6371441772
CountrySource_southamerica,-247627.92520566026,247627.92520566026
SalesLocation_asia,-234440.81701099235,234440.81701099235
Queue_EOC,-230777.8117407732,230777.8117407732
Queue_NAOC,-227064.11463371717,227064.11463371717
Queue_APOC,-220850.77830255096,220850.77830255096
CountryProcessed_europe,-148497.03972055254,148497.03972055254
SalesLocation_northamerica,-140896.23488574688,140896.23488574688
Created_on_Weekend,-139950.53330521457,139950.53330521457
CountryProcessed_asia,124606.37018601519,124606.37018601519
CountryProcessed_southamerica,-95401.58068477263,95401.58068477263
CountrySource_asia,82637.09520460691,82637.09520460691
CountrySource_northamerica,76662.43810981786,76662.43810981786
ROCName_EOC,48681.12928200976,48681.12928200976
ROCName_APOC,-18355.70632040853,18355.70632040853
CountryProcessed_northamerica,-1771.4500009022827,1771.4500009022827
Cases_resolved_within_past_8_hours,-10.49255362015298,10.49255362015298
Concurrent_open_cases,-6.971936624870642,6.971936624870642
Cases_created_within_past_8_hours,3.2873618627361783,3.2873618627361783
Seconds_left_Year,-2.7684462551857014,2.7684462551857014
Rolling_Std,-1.8413698512483048,1.8413698512483048
Rolling_Mean,-1.670235670980624,1.670235670980624
Seconds_left_Qtr,-1.5752598107694897,1.5752598107694897
Seconds_left_Month,-1.2999192687196763,1.2999192687196763
Rolling_Median,-1.112852011077724,1.112852011077724
Seconds_left_Day,-0.8836031719762729,0.8836031719762729
SalesLocation_other,5.820766091346741e-11,5.820766091346741e-11
