Columns,Importances
Concurrent_open_cases,0.3980213934767953
Seconds_left_Year,0.17922508258044054
Seconds_left_Qtr,0.16960101357735036
Seconds_left_Month,0.12629893510081694
Rolling_Mean,0.038565112445232794
Rolling_Std,0.028038761675578044
Created_on_Weekend,0.016364028437620307
Rolling_Median,0.013381778792009023
Seconds_left_Day,0.012573425800503626
Cases_resolved_within_past_8_hours,0.00986475397884415
CountryProcessed_northamerica,0.003619468775649498
Cases_created_within_past_8_hours,0.002151454286127337
Queue_NAOC,0.0012775833313451558
CountryProcessed_asia,0.0010172077416863894
CountrySource_northamerica,0.0
CountryProcessed_southamerica,0.0
CountryProcessed_australia,0.0
CountryProcessed_europe,0.0
SalesLocation_southamerica,0.0
SalesLocation_other,0.0
SalesLocation_northamerica,0.0
SalesLocation_europe,0.0
SalesLocation_australia,0.0
SalesLocation_asia,0.0
CountryProcessed_other,0.0
CountrySource_asia,0.0
CountrySource_other,0.0
ROCName_EOC,0.0
ROCName_APOC,0.0
Queue_LOC,0.0
Queue_EOC,0.0
CountrySource_australia,0.0
Queue_Broken,0.0
Queue_APOC,0.0
CountrySource_europe,0.0
CountrySource_southamerica,0.0
Queue_E&E,0.0
