Columns,Importances,Absolute_Importances
Queue_Broken,27614767.9440605,27614767.9440605
Queue_LOC,-713537.6016488272,713537.6016488272
CountryProcessed_southamerica,407652.9807333113,407652.9807333113
Created_on_Weekend,-203110.15037179997,203110.15037179997
Queue_NAOC,-193618.2498764492,193618.2498764492
SalesLocation_southamerica,129444.46579926893,129444.46579926893
CountryProcessed_northamerica,98520.17536802353,98520.17536802353
SalesLocation_europe,-52568.77881617013,52568.77881617013
CountryProcessed_asia,-42217.6440672215,42217.6440672215
CountrySource_australia,13886.362285573485,13886.362285573485
Queue_EOC,-5649.003908328139,5649.003908328139
Cases_resolved_within_past_8_hours,-27.438272729698333,27.438272729698333
Concurrent_open_cases,-6.651869128977948,6.651869128977948
Cases_created_within_past_8_hours,6.230338737116775,6.230338737116775
Seconds_left_Month,-1.4811716474403958,1.4811716474403958
Seconds_left_Qtr,-1.4776292256334562,1.4776292256334562
SalesLocation_northamerica,-0.8906609014766094,0.8906609014766094
CountrySource_northamerica,-0.8896301818537388,0.8896301818537388
Seconds_left_Day,-0.8821918179533934,0.8821918179533934
ROCName_EOC,-0.7020457371526897,0.7020457371526897
CountryProcessed_europe,-0.6029853273202712,0.6029853273202712
CountrySource_europe,-0.5984229391528807,0.5984229391528807
SalesLocation_asia,-0.4736693385191435,0.4736693385191435
CountrySource_asia,-0.4713671228710205,0.4713671228710205
ROCName_APOC,-0.4689794457242725,0.4689794457242725
Queue_APOC,-0.46881465435373587,0.46881465435373587
CountrySource_southamerica,-0.22398448133458215,0.22398448133458215
SalesLocation_australia,-0.208999765069875,0.208999765069875
CountryProcessed_australia,-0.05351762151023429,0.05351762151023429
CountrySource_other,-0.027919603064985452,0.027919603064985452
CountryProcessed_other,-0.023906435098370243,0.023906435098370243
Queue_E&E,-0.02038588765750502,0.02038588765750502
SalesLocation_other,-0.010191355689269698,0.010191355689269698
