Columns,Importances,Absolute_Importances
Queue_Broken,36835184.75581874,36835184.75581874
SalesLocation_other,-29022093.082010753,29022093.082010753
Queue_E&E,7737814.243360212,7737814.243360212
CountrySource_other,2772076.536175378,2772076.536175378
CountrySource_australia,1745440.9912808663,1745440.9912808663
CountryProcessed_australia,-1418114.5316906404,1418114.5316906404
SalesLocation_australia,-1232577.4191563008,1232577.4191563008
CountrySource_southamerica,959107.7670714008,959107.7670714008
CountryProcessed_other,876378.8804063376,876378.8804063376
SalesLocation_southamerica,-851404.5172433668,851404.5172433668
CountryProcessed_southamerica,841568.3588722324,841568.3588722324
Queue_LOC,-821632.223316812,821632.223316812
ROCName_APOC,-506543.20046557504,506543.20046557504
Queue_APOC,469212.0695443551,469212.0695443551
CountrySource_northamerica,424225.2701035372,424225.2701035372
CountrySource_europe,399598.1322965899,399598.1322965899
SalesLocation_northamerica,-355747.61491014744,355747.61491014744
CountrySource_asia,296274.81361339806,296274.81361339806
CountryProcessed_europe,-239243.36940945248,239243.36940945248
Queue_NAOC,-220244.88633642963,220244.88633642963
Created_on_Weekend,-168155.5268380993,168155.5268380993
SalesLocation_europe,-146024.5905030024,146024.5905030024
SalesLocation_asia,-115833.06646974452,115833.06646974452
CountryProcessed_asia,-115415.18149457518,115415.18149457518
CountryProcessed_northamerica,94494.17234030554,94494.17234030554
Queue_EOC,-40482.46469178481,40482.46469178481
ROCName_EOC,11295.764231047833,11295.764231047833
Cases_created_within_past_8_hours,9.68895780658598,9.68895780658598
Cases_resolved_within_past_8_hours,-7.557424511579671,7.557424511579671
Concurrent_open_cases,-5.368223078290487,5.368223078290487
Seconds_left_Month,-1.3860479581054204,1.3860479581054204
Seconds_left_Qtr,-1.2288874193195236,1.2288874193195236
Seconds_left_Day,-0.8803126287143294,0.8803126287143294
