Columns,Importances,Absolute_Importances
Created_on_Weekend,-103118.53658538597,103118.53658538597
Concurrent_open_cases,-5.33306900797864,5.33306900797864
Rolling_Std,-1.854510515347626,1.854510515347626
Rolling_Mean,-1.668139101053889,1.668139101053889
Seconds_left_Year,-1.4180123579015005,1.4180123579015005
Seconds_left_Month,-1.3346733611701818,1.3346733611701818
Seconds_left_Qtr,-1.1936858225237452,1.1936858225237452
Cases_resolved_within_past_8_hours,1.1648822077219245,1.1648822077219245
Rolling_Median,-1.121071893537682,1.121071893537682
Seconds_left_Day,-0.8770296757120987,0.8770296757120987
Cases_created_within_past_8_hours,0.08587164030626995,0.08587164030626995
