Columns,Importances,Absolute_Importances
Created_on_Weekend,-91579.04030706506,91579.04030706506
Seconds_left_Year,-56.58444012829154,56.58444012829154
Seconds_left_Qtr,-12.93211092756962,12.93211092756962
Concurrent_open_cases,-6.256793890007156,6.256793890007156
Cases_created_within_past_8_hours,4.936433248908246,4.936433248908246
Cases_resolved_within_past_8_hours,3.3259884296860225,3.3259884296860225
Seconds_left_Month,-3.142434110738383,3.142434110738383
Rolling_Std,-1.9149595765124054,1.9149595765124054
Rolling_Mean,-1.729099210119387,1.729099210119387
Rolling_Median,-0.9878246711577913,0.9878246711577913
Seconds_left_Day,-0.8981602701604761,0.8981602701604761
