Columns,Importances,Absolute_Importances
Created_on_Weekend,-102040.10920366496,102040.10920366496
Concurrent_open_cases,-5.31640542285661,5.31640542285661
Rolling_Std,-1.856832588545996,1.856832588545996
Rolling_Mean,-1.6704461029386144,1.6704461029386144
Cases_resolved_within_past_8_hours,1.420865855165031,1.420865855165031
Seconds_left_Year,-1.4127425473681996,1.4127425473681996
Seconds_left_Month,-1.330231133565404,1.330231133565404
Seconds_left_Qtr,-1.1901291040797521,1.1901291040797521
Rolling_Median,-1.1225456808312653,1.1225456808312653
Seconds_left_Day,-0.879309878495617,0.879309878495617
Cases_created_within_past_8_hours,0.08159457850221247,0.08159457850221247
