Columns,Importances
Concurrent_open_cases,0.40926525783267415
Seconds_left_Qtr,0.18625198414220318
Seconds_left_Year,0.16081546121260723
Seconds_left_Month,0.11240996553510695
Rolling_Std,0.033406628892923805
Rolling_Mean,0.03183352698614478
Created_on_Weekend,0.019777908659773465
Rolling_Median,0.01972831843433369
Seconds_left_Day,0.012033213239875605
Cases_resolved_within_past_8_hours,0.006093524472544889
CountryProcessed_northamerica,0.004321532819819379
Queue_NAOC,0.000924868916133082
ROCName_APOC,0.0008743297062132755
Queue_APOC,0.0008737789501821258
SalesLocation_asia,0.0008604617960075106
Cases_created_within_past_8_hours,0.0005292384034569022
CountrySource_southamerica,0.0
CountryProcessed_other,0.0
CountryProcessed_asia,0.0
CountryProcessed_australia,0.0
CountryProcessed_europe,0.0
SalesLocation_southamerica,0.0
SalesLocation_other,0.0
SalesLocation_northamerica,0.0
SalesLocation_europe,0.0
SalesLocation_australia,0.0
CountryProcessed_southamerica,0.0
Queue_Broken,0.0
CountrySource_asia,0.0
CountrySource_australia,0.0
ROCName_EOC,0.0
CountrySource_europe,0.0
CountrySource_northamerica,0.0
Queue_LOC,0.0
Queue_EOC,0.0
CountrySource_other,0.0
Queue_E&E,0.0
