Columns,Importances,Absolute_Importances,Percentage_Importance
sourcesystem_CLT,-17.75539265276801,17.75539265276801,0.2689578670124524
Priority,-5.109944637092468,5.109944637092468,0.07740520511270428
Complexity,-4.210180943969032,4.210180943969032,0.06377562628838021
Cases_resolved_within_past_8_hours,-1.9399361277210114,1.9399361277210114,0.02938606277292881
Cases_created_within_past_8_hours,-1.9040450113260166,1.9040450113260166,0.02884238580114477
Source_Web,-1.73553512170714,1.73553512170714,0.026289805783978475
StageName,-1.7309391087449213,1.7309391087449213,0.026220185592115964
Concurrent_open_cases,-1.7153448288950193,1.7153448288950193,0.025983964161925794
Rolling_Std,-1.7010835410250924,1.7010835410250924,0.025767934832619573
Rolling_Mean,-1.5667631346364366,1.5667631346364366,0.02373325552672956
Seconds_left_Month,-1.4820538071329743,1.4820538071329743,0.022450082550104982
Seconds_left_Qtr,-1.4318495738227233,1.4318495738227233,0.021689591145032303
IsMagnumCase,-1.3755533071664063,1.3755533071664063,0.020836817900488667
IsSOXCase,-1.3750956279731263,1.3750956279731263,0.020829884997228914
Revenutype_Current Revenue,-1.0982616799970633,1.0982616799970633,0.01663641715225447
Rolling_Median,-1.077262888736099,1.077262888736099,0.016318328433078316
CountryProcessed_northamerica,-0.9213704650024155,0.9213704650024155,0.01395687720579293
StatusReason_Problem Solved,-0.8881616006730069,0.8881616006730069,0.013453830864288833
Seconds_left_Day,-0.8796532794240124,0.8796532794240124,0.013324947207377449
SalesLocation_northamerica,-0.8759292690863111,0.8759292690863111,0.013268536070955506
CountrySource_northamerica,-0.8749454062340801,0.8749454062340801,0.013253632561957208
Queue_NAOC,-0.785291598811491,0.785291598811491,0.011895560832117678
ROCName_EOC,-0.7094770823114792,0.7094770823114792,0.01074712604133626
Queue_EOC,-0.7089974800051081,0.7089974800051081,0.010739861047772982
SubReason_Meteaop,-0.70492525087154,0.70492525087154,0.010678175109130578
Revenutype_Non-revenue,-0.6401173563951018,0.6401173563951018,0.009696468119889001
CountryProcessed_europe,-0.6079716086036276,0.6079716086036276,0.009209525818550073
SalesLocation_europe,-0.6032496881054665,0.6032496881054665,0.009137998385154236
CountrySource_europe,-0.6024758513476767,0.6024758513476767,0.009126276341724318
SubReason_Zero Usage Order,-0.5577943250709325,0.5577943250709325,0.008449442647461834
CountryProcessed_asia,-0.5374276827017392,0.5374276827017392,0.008140929690471851
SubReason_Basic Enterprise Commitment,-0.5337808217711651,0.5337808217711651,0.008085687209702194
SalesLocation_asia,-0.4813535975305353,0.4813535975305353,0.007291522040792506
CountrySource_asia,-0.47897933360839456,0.47897933360839456,0.0072555568006701454
ROCName_APOC,-0.4749361770495132,0.4749361770495132,0.007194311252044972
Queue_APOC,-0.4747774395162651,0.4747774395162651,0.007191906703230302
Created_on_Weekend,-0.46562552900377624,0.46562552900377624,0.007053273985910806
Source_Soft Copy,-0.42341919155682206,0.42341919155682206,0.006413934337605653
IsGovernment,-0.39244235872705574,0.39244235872705574,0.005944698706063795
IsSignature,-0.37243723371321574,0.37243723371321574,0.005641661997258538
SubReason_Manual Order Entry,-0.3163935976265501,0.3163935976265501,0.0047927155889040144
Revenutype_Future Billing,-0.3067965248062119,0.3067965248062119,0.004647339573526571
Revenutype_Credit / Rebill,-0.24931936347744427,0.24931936347744427,0.003776678191081393
SubReason_True Up,-0.2404535136402196,0.2404535136402196,0.003642378707645249
Source_eAgreement (Phy),-0.23288553807649157,0.23288553807649157,0.003527739363698928
CountrySource_southamerica,-0.2233887051062727,0.2233887051062727,0.0033838817769366665
SalesLocation_southamerica,-0.2217741665238209,0.2217741665238209,0.00335942482113525
CountrySource_australia,-0.21110016546037455,0.21110016546037455,0.0031977355465212286
SalesLocation_australia,-0.2108406125294679,0.2108406125294679,0.003193803850723862
CountryProcessed_southamerica,-0.14975048096068025,0.14975048096068025,0.002268413362122658
SubReason_Future Pricing Only CPS,-0.14567047483039997,0.14567047483039997,0.0022066096178936147
Source_Manual,-0.13999934204119185,0.13999934204119185,0.0021207035605982833
Queue_LOC,-0.13488131120063282,0.13488131120063282,0.00204317586604932
SubReason_Electronic Order Pend / Reject,-0.1289742239516208,0.1289742239516208,0.0019536955815058496
Revenutype_Revenue Unknown,-0.12612940724112418,0.12612940724112418,0.0019106024295007164
Source_Hard Copy,-0.12364223865564657,0.12364223865564657,0.0018729269147580924
AmountinUSD,-0.12353816991698548,0.12353816991698548,0.0018713504863163031
CountryProcessed_australia,-0.05403296270884971,0.05403296270884971,0.0008184888209875784
SubReason_Tax Exemption Order,-0.05213122693106985,0.05213122693106985,0.0007896814153494271
sourcesystem_NMEC,-0.04596154408693913,0.04596154408693913,0.0006962233448717784
CountrySource_other,-0.03169894558381086,0.03169894558381086,0.0004801741621544168
Revenutype_Revenue Impacting Case / Pending Revenue,-0.03089553425131539,0.03089553425131539,0.0004680041244341906
Queue_Broken,-0.029222781609340182,0.029222781609340182,0.0004426653447505457
Source_eAgreement (Ele),-0.029222781609340182,0.029222781609340182,0.0004426653447505457
CountryProcessed_other,-0.027448644736037437,0.027448644736037437,0.0004157908014180861
Revenutype_Future OTRRR with OLS,-0.025552014189878677,0.025552014189878677,0.0003870607295924992
sourcesystem_Aplquest,-0.022408910837548045,0.022408910837548045,0.00033944914532766204
StatusReason_Information Provided,-0.021258425689993418,0.021258425689993418,0.0003220216495033126
Queue_E&E,-0.020042132764758164,0.020042132764758164,0.0003035973005051725
Revenutype_Disputed Revenue,-0.02004213276475816,0.02004213276475816,0.00030359730050517246
SubReason_P&H Electronic Order,-0.018747227874940046,0.018747227874940046,0.0002839821411020274
Revenutype_Future OTRRR without OLS,-0.015843503946414924,0.015843503946414924,0.00023999666528167808
sourcesystem_web,-0.012271709320878727,0.012271709320878727,0.00018589128543016617
sourcesystem_clt,-0.010019557223506687,0.010019557223506687,0.00015177578958376072
Revenutype_New Work Sold,-0.010019557223506687,0.010019557223506687,0.00015177578958376072
SalesLocation_other,-0.010019557223506685,0.010019557223506685,0.0001517757895837607
Source_Fax,-0.010019557223506684,0.010019557223506684,0.00015177578958376067
sourcesystem_Moritz Jürgensen,-0.007084719048018704,0.007084719048018704,0.00010731899658893452
sourcesystem_Current Revenue,-0.007084719048018703,0.007084719048018703,0.00010731899658893451
sourcesystem_NEMEC,-0.007084719048018703,0.007084719048018703,0.00010731899658893451
sourcesystem_Web,-0.007084719048018703,0.007084719048018703,0.00010731899658893451
AssignedToGroup_BPO,0.0,0.0,0.0
HoldTypeName_Internal,0.0,0.0,0.0
HoldTypeName_Customer,0.0,0.0,0.0
HoldTypeName_3rd Party,0.0,0.0,0.0
HoldDuration,0.0,0.0,0.0
AuditDuration,0.0,0.0,0.0
AssignedToGroup_CRMT,0.0,0.0,0.0
