Columns,Importances,Absolute_Importances,Percentage_Importance
AssignedToGroup_BPO,23902646.20831304,23902646.20831304,0.5537783753737684
AssignedToGroup_CRMT,16350923.06545369,16350923.06545369,0.3788194634240656
AuditDuration,-2852050.744469556,2852050.744469556,0.06607653453894995
Queue_Broken,9247.020001062712,9247.020001062712,0.00021423568204997743
sourcesystem_NEMEC,-7992.943283418826,7992.943283418826,0.00018518113464805136
sourcesystem_Moritz Jürgensen,-6936.563973069173,6936.563973069173,0.0001607068562286002
sourcesystem_web,-4513.170586552424,4513.170586552424,0.00010456148885877142
sourcesystem_Web,-3618.514579827429,3618.514579827429,8.383402857656037e-05
SalesLocation_other,-3333.6425597740904,3333.6425597740904,7.723409135288528e-05
sourcesystem_Current Revenue,3011.480425617579,3011.480425617579,6.977021385140215e-05
Revenutype_New Work Sold,2965.9812343214608,2965.9812343214608,6.871608503163902e-05
SubReason_P&H Electronic Order,1500.1241817772923,1500.1241817772923,3.4754994279864e-05
sourcesystem_Aplquest,-1324.446587059148,1324.446587059148,3.0684882036025896e-05
StatusReason_Information Provided,1007.3225035525602,1007.3225035525602,2.33377264857297e-05
Queue_E&E,-985.7985169854542,985.7985169854542,2.283905708281843e-05
Revenutype_Disputed Revenue,979.2491516156384,979.2491516156384,2.268732087409003e-05
Revenutype_Future OTRRR with OLS,-905.3152438137205,905.3152438137205,2.09744143201144e-05
sourcesystem_clt,881.578217733033,881.578217733033,2.0424473044800864e-05
sourcesystem_NMEC,-869.38626343956,869.38626343956,2.014200889491429e-05
Revenutype_Future OTRRR without OLS,-862.1327409081249,862.1327409081249,1.997395871803479e-05
SalesLocation_australia,-513.8617015389823,513.8617015389823,1.1905188060144135e-05
CountrySource_australia,493.67312617768613,493.67312617768613,1.1437457568413005e-05
Source_Fax,-486.9376571856873,486.9376571856873,1.1281409696421651e-05
Revenutype_Revenue Impacting Case / Pending Revenue,-454.91859720910423,454.91859720910423,1.0539589612557436e-05
CountryProcessed_southamerica,435.3933567352046,435.3933567352046,1.00872273153379e-05
CountryProcessed_other,399.54974903914405,399.54974903914405,9.256799811015985e-06
SubReason_Tax Exemption Order,370.87477118971714,370.87477118971714,8.592455683217627e-06
sourcesystem_CLT,-304.11978906808434,304.11978906808434,7.045871040444229e-06
Source_eAgreement (Ele),285.59084853802995,285.59084853802995,6.616591098185698e-06
CountrySource_other,-280.5517181387055,280.5517181387055,6.4998441312802545e-06
CountryProcessed_australia,233.74858884720763,233.74858884720763,5.4155055741359e-06
Queue_LOC,-181.24332217659148,181.24332217659148,4.199059452563473e-06
CountrySource_southamerica,-160.72075161881213,160.72075161881213,3.723590934018108e-06
SalesLocation_southamerica,158.73965145735488,158.73965145735488,3.677692650652187e-06
CountryProcessed_northamerica,131.97845424305189,131.97845424305189,3.0576871421725615e-06
SubReason_Future Pricing Only CPS,125.00446758756117,125.00446758756117,2.896113274312993e-06
ROCName_EOC,117.81406706831714,117.81406706831714,2.7295255131449925e-06
CountrySource_europe,96.22463842276017,96.22463842276017,2.2293399430457967e-06
IsSOXCase,-94.9536531214919,94.9536531214919,2.1998936562570353e-06
IsMagnumCase,91.1006899596128,91.1006899596128,2.1106279046090728e-06
SalesLocation_europe,-88.14001233715253,88.14001233715253,2.0420346940715175e-06
Queue_APOC,86.29458643497159,86.29458643497159,1.999279722547611e-06
Source_Manual,69.10939299121694,69.10939299121694,1.6011318177998694e-06
