Columns,Importances
AmountinUSD,0.44414293334380855
SubReason_Basic Enterprise Commitment,0.11727459878104693
StageName,0.04139602963519374
SubReason_Zero Usage Order,0.02888246839357784
IsSignature,0.02277293373901247
Source_Web,0.022225825214336196
CountryProcessed_northamerica,0.02095995355920409
StatusReason_Completed,0.020568941443068197
IsGovernment,0.017999368856246287
Revenutype_Current Revenue,0.017172808277044743
Queue_Broken,0.016984055036030957
SubReason_True Up,0.013875605757761198
Complexity,0.013440378940338022
Priority,0.011870550581723554
Revenutype_Future Billing,0.011484109344389455
Source_Soft Copy,0.011196793456139456
StatusReason_Problem Solved,0.010898561000856542
Queue_NAOC,0.010740280611936102
Revenutype_Credit / Rebill,0.01047994526304533
SubReason_Future Pricing Only CPS,0.010278390047892967
Revenutype_Non-revenue,0.00931677895230227
ROCName_APOC,0.00891974750612563
Revenutype_Revenue Unknown,0.006678487339121144
Queue_APOC,0.006330945500537391
SubReason_Meteaop,0.005807748286252934
CountryProcessed_asia,0.005439657577168342
IsMagnumCase,0.005004589750156472
IsSOXCase,0.004747704122152447
CountrySource_asia,0.0046207171372276545
SubReason_Manual Order Entry,0.004377364839803799
CountrySource_northamerica,0.004053137853869369
CountrySource_southamerica,0.004023512359804204
SalesLocation_asia,0.003929088060766917
SalesLocation_southamerica,0.0038463458234459574
SalesLocation_northamerica,0.0037054396748137956
ROCName_EOC,0.0034554232375937867
Source_eAgreement (Phy),0.0033034191271868784
CountryProcessed_europe,0.003026915115033724
Queue_EOC,0.0029876096941447135
Source_Hard Copy,0.0026447734131927426
Queue_LOC,0.0024706342835099523
Source_Manual,0.0023619894584064787
CountryProcessed_southamerica,0.0023218545297178225
CountrySource_australia,0.002230499658215994
SalesLocation_australia,0.0022207743498441285
CountrySource_europe,0.002035534327897928
SalesLocation_europe,0.002012978147671769
SubReason_Tax Exemption Order,0.0020119699633403608
SubReason_Electronic Order Pend / Reject,0.0012534453439614957
SalesLocation_other,0.0011521276336364595
Revenutype_Revenue Impacting Case / Pending Revenue,0.0011233638795629904
CountryProcessed_australia,0.001064203166803144
Queue_E&E,0.0010107284448271428
Source_eAgreement (Ele),0.0009137742835594682
sourcesystem_CLT,0.0008619051624445999
sourcesystem_NMEC,0.0006219205182287455
Revenutype_Future OTRRR without OLS,0.0005435106571012733
SubReason_P&H Electronic Order,0.0005319786375413818
sourcesystem_web,0.0004124805108382796
CountryProcessed_other,0.00031127865794967956
Revenutype_Future OTRRR with OLS,0.00026459969070999817
sourcesystem_clt,0.00019636235481914057
StatusReason_Customer Hold,0.00019276687751072872
sourcesystem_Aplquest,0.00017552153163535818
StatusReason_Ready for Audit,0.0001590585755217101
Revenutype_New Work Sold,0.00015389180453311254
Revenutype_Disputed Revenue,0.00014912426307252776
CountrySource_other,0.00014331350750936716
StatusReason_Information Provided,8.923140734907424e-05
sourcesystem_`,7.008754675141858e-05
sourcesystem_Web,3.77460967758703e-05
Source_Fax,2.7795710526148684e-05
sourcesystem_NEMEC,4.291801674465584e-06
StatusReason_Ready for Archiving,2.5625596732629957e-06
sourcesystem_Current Revenue,1.987698357620928e-06
sourcesystem_Moritz Jürgensen,7.703051682685558e-07
