Columns,Importances,Absolute_Importances,Percentage_Importance
StatusReason_Ready for Audit,51891.14921006479,51891.14921006479,0.17710144201218683
StatusReason_Customer Hold,-28740.6047163346,28740.6047163346,0.09808999447978811
Revenutype_New Work Sold,23943.16004546232,23943.16004546232,0.08171659781929619
sourcesystem_Moritz Jürgensen,23288.566774817897,23288.566774817897,0.07948250946458858
sourcesystem_Web,15464.100640692033,15464.100640692033,0.05277806648300133
sourcesystem_web,15118.701460668752,15118.701460668752,0.05159923938467827
sourcesystem_clt,14535.283385724952,14535.283385724952,0.049608067789109124
sourcesystem_NEMEC,12676.502289687629,12676.502289687629,0.04326415717035272
Queue_Broken,12591.122490677775,12591.122490677775,0.042972760935088325
Source_Fax,-11385.170044587738,11385.170044587738,0.03885691612432733
SalesLocation_other,9413.009297330962,9413.009297330962,0.03212604742058966
sourcesystem_`,9119.564483426006,9119.564483426006,0.031124537519870682
Queue_E&E,8825.597457443882,8825.597457443882,0.030121245340028767
Revenutype_Future OTRRR without OLS,7387.006637323301,7387.006637323301,0.02521141943354387
Revenutype_Disputed Revenue,5536.024477956656,5536.024477956656,0.01889412612721096
sourcesystem_Current Revenue,5272.892620345979,5272.892620345979,0.01799607256448205
sourcesystem_Aplquest,4708.025186780958,4708.025186780958,0.016068213217503378
StatusReason_Information Provided,-4486.528497410104,4486.528497410104,0.015312258036597592
StatusReason_Ready for Archiving,-4210.311462654306,4210.311462654306,0.014369545533439268
Revenutype_Future OTRRR with OLS,4017.259424861208,4017.259424861208,0.013710670276347885
sourcesystem_NMEC,2858.143152271372,2858.143152271372,0.00975467457264058
Revenutype_Revenue Impacting Case / Pending Revenue,2686.4122394059405,2686.4122394059405,0.009168567061638721
SubReason_Tax Exemption Order,2371.709132526396,2371.709132526396,0.008094503856592716
sourcesystem_CLT,1675.4598253501592,1675.4598253501592,0.005718245897808079
Revenutype_Revenue Unknown,1266.3324322904907,1266.3324322904907,0.00432191815443445
SalesLocation_southamerica,617.9360386705699,617.9360386705699,0.0021089793767494736
CountryProcessed_southamerica,616.510841335692,616.510841335692,0.0021041152620208323
Revenutype_Credit / Rebill,605.8324383560648,605.8324383560648,0.0020676705003443577
CountrySource_other,523.7590862578784,523.7590862578784,0.0017875589740314367
Queue_LOC,-513.3316832653644,513.3316832653644,0.0017519708605568131
CountryProcessed_other,493.41213751613304,493.41213751613304,0.0016839866218163007
Revenutype_Future Billing,455.29456383201756,455.29456383201756,0.001553893583442171
SubReason_Future Pricing Only CPS,450.69064917089304,450.69064917089304,0.001538180693328956
Queue_APOC,395.3713945103391,395.3713945103391,0.0013493793289235739
Source_eAgreement (Ele),348.9532293029045,348.9532293029045,0.0011909568596019252
CountryProcessed_australia,-321.0729788298586,321.0729788298586,0.0010958032035815323
SubReason_P&H Electronic Order,-311.4623912215551,311.4623912215551,0.0010630028329995512
