Columns,Importances
Concurrent_open_cases,0.34846057062240976
Seconds_left_Qtr,0.2073279494431498
Seconds_left_Month,0.1328050017422759
Rolling_Mean,0.06389390721259823
Rolling_Std,0.058672746462276354
Rolling_Median,0.04405010053594248
Cases_created_within_past_8_hours,0.036123785056960935
Cases_resolved_within_past_8_hours,0.026480696174155747
Seconds_left_Day,0.018971580990051234
CountryProcessed_northamerica,0.012643798905742574
AmountinUSD,0.008491039832656444
Source_Soft Copy,0.008142054776993476
SubReason_True Up,0.005757536462550165
Created_on_Weekend,0.005662598674551988
SubReason_Zero Usage Order,0.004952598942789927
SubReason_Future Pricing Only CPS,0.004203095676976583
SubReason_Basic Enterprise Commitment,0.003062994200981992
Source_Manual,0.002088679701198638
Queue_APOC,0.001826586877592442
CountryProcessed_asia,0.0016690089895181508
StatusReason_Completed,0.001556337072141515
IsMagnumCase,0.0012635355953033165
ROCName_APOC,0.0006371837281678657
CountryProcessed_southamerica,0.00047289041676944497
Revenutype_Revenue Unknown,0.0004624426605229757
Source_eAgreement (Phy),0.00032127924572231603
Source_eAgreement (Ele),0.0
SalesLocation_southamerica,0.0
sourcesystem_clt,0.0
sourcesystem_`,0.0
sourcesystem_Web,0.0
sourcesystem_NMEC,0.0
sourcesystem_NEMEC,0.0
sourcesystem_Moritz Jürgensen,0.0
Source_Fax,0.0
Source_Hard Copy,0.0
sourcesystem_Current Revenue,0.0
Source_Web,0.0
SubReason_Meteaop,0.0
SubReason_Manual Order Entry,0.0
StageName,0.0
sourcesystem_CLT,0.0
StatusReason_Customer Hold,0.0
StatusReason_Information Provided,0.0
StatusReason_Problem Solved,0.0
sourcesystem_Aplquest,0.0
StatusReason_Ready for Archiving,0.0
StatusReason_Ready for Audit,0.0
SubReason_Tax Exemption Order,0.0
SalesLocation_northamerica,0.0
SubReason_Electronic Order Pend / Reject,0.0
SubReason_P&H Electronic Order,0.0
SalesLocation_other,0.0
Revenutype_Revenue Impacting Case / Pending Revenue,0.0
SalesLocation_europe,0.0
CountrySource_europe,0.0
HoldTypeName_Internal,0.0
HoldTypeName_Customer,0.0
HoldTypeName_3rd Party,0.0
HoldDuration,0.0
CountrySource_southamerica,0.0
CountrySource_other,0.0
CountrySource_northamerica,0.0
CountrySource_australia,0.0
IsSOXCase,0.0
CountrySource_asia,0.0
CountryProcessed_other,0.0
CountryProcessed_europe,0.0
CountryProcessed_australia,0.0
Complexity,0.0
AuditDuration,0.0
AssignedToGroup_CRMT,0.0
IsGovernment,0.0
IsSignature,0.0
SalesLocation_australia,0.0
Revenutype_Disputed Revenue,0.0
SalesLocation_asia,0.0
AssignedToGroup_BPO,0.0
Revenutype_Non-revenue,0.0
Revenutype_New Work Sold,0.0
Revenutype_Future OTRRR without OLS,0.0
Revenutype_Future OTRRR with OLS,0.0
Revenutype_Future Billing,0.0
Revenutype_Current Revenue,0.0
Priority,0.0
Revenutype_Credit / Rebill,0.0
ROCName_EOC,0.0
Queue_NAOC,0.0
Queue_LOC,0.0
Queue_EOC,0.0
Queue_E&E,0.0
Queue_Broken,0.0
sourcesystem_web,0.0
