Columns,Importances,Absolute_Importances,Percentage_Importance
sourcesystem_CLT,-19.7663434487346,19.7663434487346,0.28397238456178786
Priority,-5.4090888752685595,5.4090888752685595,0.0777094595265158
Complexity,-4.120093556719124,4.120093556719124,0.05919115970809907
StageName,-1.7977715678753765,1.7977715678753765,0.025827613506312776
Cases_resolved_within_past_8_hours,-1.7586028928525235,1.7586028928525235,0.02526489829926332
Source_Web,-1.717878561654392,1.717878561654392,0.024679833819835906
Cases_created_within_past_8_hours,-1.6719248625102874,1.6719248625102874,0.024019641834442582
Concurrent_open_cases,-1.6537658705290466,1.6537658705290466,0.023758761400611943
Rolling_Std,-1.6298844915451858,1.6298844915451858,0.023415670522207475
Rolling_Mean,-1.5384089029973262,1.5384089029973262,0.022101490128828165
IsMagnumCase,-1.4162468319437567,1.4162468319437567,0.020346453608792912
IsSOXCase,-1.4152295881067531,1.4152295881067531,0.020331839415792377
Seconds_left_Month,-1.3733640854282285,1.3733640854282285,0.019730380341819866
Seconds_left_Qtr,-1.3209479789435528,1.3209479789435528,0.018977346439191262
Revenutype_Current Revenue,-1.1528634187395028,1.1528634187395028,0.016562566310890946
StatusReason_Completed,-1.1294778282945859,1.1294778282945859,0.016226598158751326
Rolling_Median,-1.048521292556546,1.048521292556546,0.01506353931789806
CountryProcessed_northamerica,-0.9406642838587463,0.9406642838587463,0.013514015905484804
SalesLocation_northamerica,-0.8873418877928629,0.8873418877928629,0.012747961829744945
CountrySource_northamerica,-0.8862573064115695,0.8862573064115695,0.012732380234600854
StatusReason_Problem Solved,-0.8830095911327549,0.8830095911327549,0.012685722062618025
Seconds_left_Day,-0.879328631034043,0.879328631034043,0.012632839696214797
Seconds_left_Year,-0.8574855454575038,0.8574855454575038,0.012319031878727233
Queue_NAOC,-0.7784025234766614,0.7784025234766614,0.01118288879852138
ROCName_EOC,-0.7027674517309823,0.7027674517309823,0.010096280557810203
Queue_EOC,-0.702204540793128,0.702204540793128,0.010088193520279311
SubReason_Meteaop,-0.6812504420342361,0.6812504420342361,0.00978715729644062
Revenutype_Non-revenue,-0.6276232449306074,0.6276232449306074,0.00901672430875228
CountryProcessed_europe,-0.611347477253707,0.611347477253707,0.008782899141757169
SalesLocation_europe,-0.6015576863503976,0.6015576863503976,0.0086422545013165
CountrySource_europe,-0.600519201577065,0.600519201577065,0.008627335151251617
SubReason_Basic Enterprise Commitment,-0.5703215494783198,0.5703215494783198,0.008193501787135052
SubReason_Zero Usage Order,-0.5298963962282579,0.5298963962282579,0.00761273543576263
CountryProcessed_asia,-0.5205553937681104,0.5205553937681104,0.007478538296585863
SalesLocation_asia,-0.46882852052007545,0.46882852052007545,0.006735406235753934
CountrySource_asia,-0.4666890784787326,0.4666890784787326,0.006704670027021773
ROCName_APOC,-0.46584379650001856,0.46584379650001856,0.006692526317197795
Queue_APOC,-0.4657310590881594,0.4657310590881594,0.006690906679668073
Created_on_Weekend,-0.46093233964146485,0.46093233964146485,0.006621966068185977
Source_Soft Copy,-0.4346797707491347,0.4346797707491347,0.0062448095845620485
IsSignature,-0.4099608797988135,0.4099608797988135,0.005889686623904655
IsGovernment,-0.4043390891441254,0.4043390891441254,0.00580892139275002
SubReason_Manual Order Entry,-0.31792693456618565,0.31792693456618565,0.004567484621489714
Revenutype_Future Billing,-0.2861838247092971,0.2861838247092971,0.004111448500148086
SubReason_True Up,-0.24645828851864493,0.24645828851864493,0.0035407331693478776
Revenutype_Credit / Rebill,-0.24361276856704797,0.24361276856704797,0.0034998531204876084
CountrySource_southamerica,-0.23196040000793614,0.23196040000793614,0.0033324498324639133
SalesLocation_southamerica,-0.2305139239961149,0.2305139239961149,0.0033116690925484287
Source_eAgreement (Phy),-0.22229249534874565,0.22229249534874565,0.0031935562658866263
CountrySource_australia,-0.20720331802094918,0.20720331802094918,0.002976778201801924
SalesLocation_australia,-0.2070171161468413,0.2070171161468413,0.002974103140006229
SubReason_Future Pricing Only CPS,-0.1523795702595991,0.1523795702595991,0.0021891550168267977
Source_Manual,-0.14967792139208996,0.14967792139208996,0.0021503418861562214
CountryProcessed_southamerica,-0.14831028771055804,0.14831028771055804,0.0021306938314333587
Queue_LOC,-0.13852462591944853,0.13852462591944853,0.0019901085117183743
SubReason_Electronic Order Pend / Reject,-0.13489107727844865,0.13489107727844865,0.0019379072801308478
AmountinUSD,-0.12362423283176384,0.12362423283176384,0.0017760426088875357
Source_Hard Copy,-0.12160768201350503,0.12160768201350503,0.0017470719120089666
Revenutype_Revenue Unknown,-0.11193577947294274,0.11193577947294274,0.0016081209100284502
CountryProcessed_australia,-0.05626439885109393,0.05626439885109393,0.0008083202413799762
SubReason_Tax Exemption Order,-0.050237598416038164,0.050237598416038164,0.000721736453373886
sourcesystem_NMEC,-0.039529172625747594,0.039529172625747594,0.0005678942814790921
SubReason_P&H Electronic Order,-0.03575040396322708,0.03575040396322708,0.0005136067522460612
CountrySource_other,-0.034741914217560045,0.034741914217560045,0.00049911832454946
Revenutype_Revenue Impacting Case / Pending Revenue,-0.03263202910976697,0.03263202910976697,0.00046880674432394487
Queue_Broken,-0.03152441624956402,0.03152441624956402,0.0004528942683569612
CountryProcessed_other,-0.027940433529924067,0.027940433529924067,0.0004014051236011792
Revenutype_Future OTRRR with OLS,-0.027940433529924067,0.027940433529924067,0.0004014051236011792
Source_eAgreement (Ele),-0.027940433529924067,0.027940433529924067,0.0004014051236011792
sourcesystem_Aplquest,-0.02147455327715462,0.02147455327715462,0.0003085133129113542
StatusReason_Information Provided,-0.019753015258556533,0.019753015258556533,0.00028378090564933376
Revenutype_Disputed Revenue,-0.019753015258556533,0.019753015258556533,0.00028378090564933376
Queue_E&E,-0.01883342705602368,0.01883342705602368,0.0002705696784253699
Revenutype_Future OTRRR without OLS,-0.017866640832846156,0.017866640832846156,0.00025668038272081805
StatusReason_Customer Hold,-0.013316063241479506,0.013316063241479506,0.00019130469130346832
SalesLocation_other,-0.013316063241479506,0.013316063241479506,0.00019130469130346832
sourcesystem_web,-0.011910037856264365,0.011910037856264365,0.00017110508370130908
sourcesystem_clt,-0.010314212462587936,0.010314212462587936,0.0001481787218498175
Revenutype_New Work Sold,-0.00842136989691979,0.00842136989691979,0.00012098527464665021
StatusReason_Ready for Archiving,-0.008421369896919788,0.008421369896919788,0.00012098527464665018
Source_Fax,-0.008421369896919788,0.008421369896919788,0.00012098527464665018
sourcesystem_`,-0.008421369896919786,0.008421369896919786,0.00012098527464665016
sourcesystem_Web,-0.005954702185845988,0.005954702185845988,8.554799138523663e-05
sourcesystem_Moritz Jürgensen,-0.005954702185845988,0.005954702185845988,8.554799138523663e-05
sourcesystem_NEMEC,-0.005954702185845987,0.005954702185845987,8.554799138523661e-05
StatusReason_Ready for Audit,-0.005954702185845987,0.005954702185845987,8.554799138523661e-05
sourcesystem_Current Revenue,-0.005954702185845987,0.005954702185845987,8.554799138523661e-05
HoldDuration,0.0,0.0,0.0
