Columns,Importances,Absolute_Importances,Percentage_Importance
sourcesystem_CLT,-19.7663434487346,19.7663434487346,0.2875259516713271
Priority,-5.4090888752685595,5.4090888752685595,0.07868189837791902
Complexity,-4.120093556719124,4.120093556719124,0.05993186468417895
StageName,-1.7977715678753765,1.7977715678753765,0.026150814503534934
Cases_resolved_within_past_8_hours,-1.7570236724501092,1.7570236724501092,0.025558085886775835
Source_Web,-1.717878561654392,1.717878561654392,0.024988671757955834
Cases_created_within_past_8_hours,-1.6708081516508986,1.6708081516508986,0.024303974334433105
Concurrent_open_cases,-1.6536715575117633,1.6536715575117633,0.02405470134415854
Rolling_Std,-1.6298844915586894,1.6298844915586894,0.023708689002859065
Rolling_Mean,-1.5384089028843415,1.5384089028843415,0.022378063247189998
IsMagnumCase,-1.4162468319437567,1.4162468319437567,0.020601064593067125
IsSOXCase,-1.4152295881067531,1.4152295881067531,0.020586267521313577
Seconds_left_Month,-1.3733640854254214,1.3733640854254214,0.019977281922542195
Seconds_left_Qtr,-1.320947978945744,1.320947978945744,0.019214824721615655
Revenutype_Current Revenue,-1.1528634187395028,1.1528634187395028,0.016769826573126544
StatusReason_Completed,-1.1294778282945859,1.1294778282945859,0.01642965419043423
Rolling_Median,-1.0485212925588276,1.0485212925588276,0.015252041090580508
CountryProcessed_northamerica,-0.9406642838587463,0.9406642838587463,0.013683127287613131
SalesLocation_northamerica,-0.8873418877928629,0.8873418877928629,0.012907486981959124
CountrySource_northamerica,-0.8862573064115695,0.8862573064115695,0.012891710402207277
StatusReason_Problem Solved,-0.8830095911327549,0.8830095911327549,0.012844468360262566
Seconds_left_Day,-0.8793286314056,0.8793286314056,0.012790924241120905
Queue_NAOC,-0.7784025234766614,0.7784025234766614,0.011322828975751584
ROCName_EOC,-0.7027674517309823,0.7027674517309823,0.010222623161772484
Queue_EOC,-0.702204540793128,0.702204540793128,0.010214434924856915
SubReason_Meteaop,-0.6812504420342361,0.6812504420342361,0.00990963160082831
Revenutype_Non-revenue,-0.6276232449306074,0.6276232449306074,0.009129557586497965
CountryProcessed_europe,-0.611347477253707,0.611347477253707,0.008892806383493759
SalesLocation_europe,-0.6015576863503976,0.6015576863503976,0.008750401747378954
CountrySource_europe,-0.600519201577065,0.600519201577065,0.008735295699893586
SubReason_Basic Enterprise Commitment,-0.5703215494783198,0.5703215494783198,0.008296033441780431
SubReason_Zero Usage Order,-0.5298963962282579,0.5298963962282579,0.007707999509767204
CountryProcessed_asia,-0.5205553937681104,0.5205553937681104,0.0075721230575096655
SalesLocation_asia,-0.46882852052007545,0.46882852052007545,0.006819691607747747
CountrySource_asia,-0.4666890784787326,0.4666890784787326,0.006788570772952067
ROCName_APOC,-0.46584379650001856,0.46584379650001856,0.0067762750994507575
Queue_APOC,-0.4657310590881594,0.4657310590881594,0.006774635194138082
Created_on_Weekend,-0.46093233964146485,0.46093233964146485,0.00670483187521402
Source_Soft Copy,-0.4346797707491347,0.4346797707491347,0.006322955739440029
IsSignature,-0.4099608797988135,0.4099608797988135,0.005963388849226662
IsGovernment,-0.4043390891441254,0.4043390891441254,0.005881612939975746
SubReason_Manual Order Entry,-0.31792693456618565,0.31792693456618565,0.004624641105734824
Revenutype_Future Billing,-0.2861838247092971,0.2861838247092971,0.004162898250042733
SubReason_True Up,-0.24645828851864493,0.24645828851864493,0.003585041114832314
Revenutype_Credit / Rebill,-0.24361276856704797,0.24361276856704797,0.0035436495021547026
CountrySource_southamerica,-0.23196040000793614,0.23196040000793614,0.003374151366706785
SalesLocation_southamerica,-0.2305139239961149,0.2305139239961149,0.003353110581245007
Source_eAgreement (Phy),-0.22229249534874565,0.22229249534874565,0.0032335197170032907
CountrySource_australia,-0.20720331802094918,0.20720331802094918,0.003014028940554709
SalesLocation_australia,-0.2070171161468413,0.2070171161468413,0.0030113204036321005
SubReason_Future Pricing Only CPS,-0.1523795702595991,0.1523795702595991,0.0022165496146412406
Source_Manual,-0.14967792139208996,0.14967792139208996,0.0021772507851067343
CountryProcessed_southamerica,-0.14831028771055804,0.14831028771055804,0.0021573568590075496
Queue_LOC,-0.13852462591944853,0.13852462591944853,0.0020150122859447644
SubReason_Electronic Order Pend / Reject,-0.13489107727844865,0.13489107727844865,0.0019621578197832738
AmountinUSD,-0.12362423283137812,0.12362423283137812,0.001798267610125698
Source_Hard Copy,-0.12160768201350503,0.12160768201350503,0.001768934380410939
Revenutype_Revenue Unknown,-0.11193577947294274,0.11193577947294274,0.0016282445765703846
CountryProcessed_australia,-0.05626439885109393,0.05626439885109393,0.0008184353806678167
SubReason_Tax Exemption Order,-0.050237598416038164,0.050237598416038164,0.0007307681024422371
sourcesystem_NMEC,-0.039529172625747594,0.039529172625747594,0.0005750007839070435
SubReason_P&H Electronic Order,-0.03575040396322708,0.03575040396322708,0.0005200339126364468
CountrySource_other,-0.034741914217560045,0.034741914217560045,0.0005053641799858057
Revenutype_Revenue Impacting Case / Pending Revenue,-0.03263202910976697,0.03263202910976697,0.0004746732874032324
Queue_Broken,-0.03152441624956402,0.03152441624956402,0.00045856168625964093
Source_eAgreement (Ele),-0.027940433529924067,0.027940433529924067,0.0004064282178257491
