Columns,Importances
Concurrent_open_cases,0.7234090186614844
Rolling_Std,0.12139953556909443
Rolling_Mean,0.0590479661246885
Seconds_left_Qtr,0.03314174691917666
Seconds_left_Month,0.022591971144773362
Rolling_Median,0.016172864566090323
Cases_resolved_within_past_8_hours,0.004902622091082432
Seconds_left_Day,0.00406613693265508
Cases_created_within_past_8_hours,0.00401166850428408
SubReason_Basic Enterprise Commitment,0.0018631665385976381
AmountinUSD,0.001620815038121543
Created_on_Weekend,0.0009183632741693464
Source_Soft Copy,0.0005365137646428203
StageName,0.0003729743363693529
SubReason_Manual Order Entry,0.0003124102783851411
SubReason_Zero Usage Order,0.000304767698552074
CountryProcessed_northamerica,0.00028158681082799753
Source_Web,0.00025789443981489977
IsSignature,0.000257253225887911
Queue_NAOC,0.00023653266787876587
SubReason_Meteaop,0.00021883357459269865
Source_Manual,0.0002028087768019949
Revenutype_Current Revenue,0.0001840421044530755
StatusReason_Completed,0.00017313063983572213
Revenutype_Credit / Rebill,0.00015955710570363126
StatusReason_Problem Solved,0.00015871810662673917
SubReason_True Up,0.00015531032860106856
Source_eAgreement (Phy),0.0001519930569284413
SubReason_Future Pricing Only CPS,0.0001443910501644782
CountryProcessed_asia,0.00013661248238212943
Source_Hard Copy,0.00013090117389632965
CountrySource_northamerica,0.00012678339031394858
Queue_EOC,0.00012612126387080642
SalesLocation_northamerica,0.00012368177724177587
ROCName_APOC,0.0001224448998334395
IsGovernment,0.00011988807904379218
Queue_APOC,0.00011470820921519499
Revenutype_Non-revenue,0.00010919424067998389
Revenutype_Revenue Unknown,0.00010621190777553702
IsMagnumCase,9.861854060319891e-05
Complexity,9.560202246532968e-05
CountryProcessed_southamerica,9.335304063185317e-05
ROCName_EOC,9.239065444332636e-05
SalesLocation_asia,8.987880704173078e-05
Revenutype_Future Billing,8.899448976328996e-05
IsSOXCase,8.553654170749851e-05
CountrySource_australia,8.369963614163835e-05
CountrySource_asia,8.182637049841923e-05
SalesLocation_australia,7.941711157038827e-05
CountrySource_europe,7.669147662141612e-05
SalesLocation_europe,7.250875329307094e-05
Priority,6.555007871407808e-05
Queue_LOC,6.469149396072082e-05
CountryProcessed_europe,6.183932511183421e-05
SubReason_Electronic Order Pend / Reject,5.895316029360266e-05
CountrySource_southamerica,5.781207266786268e-05
SalesLocation_southamerica,5.356951154857948e-05
SubReason_Tax Exemption Order,4.506525591384955e-05
Queue_Broken,1.8166259053781066e-05
sourcesystem_CLT,9.697429336520387e-06
CountryProcessed_australia,9.650503704134649e-06
CountrySource_other,8.038484037850969e-06
CountryProcessed_other,7.706123312597648e-06
SubReason_P&H Electronic Order,5.76514520711634e-06
Queue_E&E,4.586770917834738e-06
sourcesystem_NMEC,3.515120896669892e-06
Revenutype_Future OTRRR without OLS,3.20873615298144e-06
StatusReason_Information Provided,2.940509728520378e-06
Revenutype_Future OTRRR with OLS,2.644578341407391e-06
Revenutype_Revenue Impacting Case / Pending Revenue,2.1367206542188966e-06
Source_eAgreement (Ele),1.495086945821444e-06
Revenutype_New Work Sold,8.019479132509254e-07
Revenutype_Disputed Revenue,5.98781466707531e-07
sourcesystem_clt,4.3504124654561016e-07
sourcesystem_Moritz Jürgensen,4.158344972867003e-07
sourcesystem_Aplquest,2.651628280393845e-07
sourcesystem_Web,2.619112048301616e-07
SalesLocation_other,2.0547648120467511e-07
sourcesystem_`,1.783511104230617e-07
StatusReason_Ready for Archiving,1.0305401927031129e-07
sourcesystem_web,1.5293818813147784e-08
StatusReason_Customer Hold,1.0693516272757641e-08
Source_Fax,9.649272388769334e-09
sourcesystem_NEMEC,7.201676724074775e-09
StatusReason_Ready for Audit,1.035129240181318e-09
HoldDuration,0.0
HoldTypeName_Customer,0.0
AuditDuration,0.0
sourcesystem_Current Revenue,0.0
HoldTypeName_Internal,0.0
AssignedToGroup_CRMT,0.0
AssignedToGroup_BPO,0.0
HoldTypeName_3rd Party,0.0
