Queue,RevenuType,Program,Reason,CountryProcessed,time_to_complete
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,Jamaica,18851.0
<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States,22154.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,18088.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,8267.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,India,10376.0
<VL APOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,Singapore,9931.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Sweden,24714.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Netherlands,1611.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Sweden,12043.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,9730.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,9719.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,United Kingdom,1854.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Netherlands,470.0
<VL APOC Enterprise>,Future Billing,Enterprise,Order Transaction Request,Singapore,1376.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,24568.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Belgium,23199.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,France,20213.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Netherlands,7231.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,10591.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Germany,12904.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,5911.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,13356.0
<VL EOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,France,14455.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,10765.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,OLS Forms,Ireland,18198.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,13592.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,20578.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,14475.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,14582.0
<VL NAOC Order Rework>,Credit / Rebill,Enterprise,Order Transaction Request,United States,6227.0
<VL NAOC Order Rework>,Credit / Rebill,Enterprise,Order Transaction Request,United States,5029.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,14537.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,14500.0
<VL EOC Ops Out>,Credit / Rebill,Enterprise,Order Transaction Request,Portugal,21336.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,1582.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Austria,11143.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,10416.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Portugal,14417.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,10260.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,5845.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,10500.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,14646.0
<VL EOC Ops Out>,Revenue Unknown,Enterprise,OLS Forms,France,11722.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,15611.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,10281.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,10286.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,10357.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,1214.0
<VL AOC Outbound Shipping>,Credit / Rebill,Enterprise,Order Transaction Request,United States,17090.0
<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,Canada,10324.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,1476.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,11571.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,10290.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,8894.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,10213.0
<VL NAOC Order Rework>,Credit / Rebill,Select,Order Transaction Request,United States,5435.0
<VL NAOC Order Rework>,Credit / Rebill,Select Plus,Order Transaction Request,United States,7166.0
<VL AOC SMS&P Reworks>,Revenue Unknown,Not Program Specific,Order Transaction Request,United States,22276.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,14392.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,15779.0
<VL NAOC Order Rework>,Current Revenue,Enterprise,Order Transaction Request,United States,4969.0
<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States,20581.0
<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,United States,20280.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,1199.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,20584.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,1639.0
<VL EOC Enterprise Orders and Adjustments>,Revenue Impacting Case / Pending Revenue,Enterprise,Order Transaction Request,Russia,6290.0
<VL EOC Enterprise Orders and Adjustments>,Credit / Rebill,Enterprise,Order Transaction Request,Russia,4905.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Germany,10439.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,507.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Belgium,1581.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Saudi Arabia,2848.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Netherlands,1560.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,1483.0
<VL EOC Enterprise Orders and Adjustments>,Credit / Rebill,Enterprise,Order Transaction Request,Denmark,4698.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Mauritius,1317.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Mauritius,2693.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,France,7109.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Denmark,8309.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,Canada,6624.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,Canada,7496.0
<VL EOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,Belgium,2922.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,1619.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,2946.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Belgium,22996.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,13301.0
<VL AOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,United States,19705.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Belgium,7353.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Austria,7388.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,12069.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,19173.0
<VL APOC Ops Out>,Current Revenue,SPLA,Order Transaction Request,Singapore,9384.0
<VL NAOC Order Rework>,Credit / Rebill,Enterprise,Order Transaction Request,United States,7022.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,4093.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,15517.0
<VL AOC SMS&P Processing>,Current Revenue,IP&L,Order Transaction Request,United States,2894.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,537.0
<VL APOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,Singapore,7476.0
<VL APOC Enterprise>,Non-revenue,Enterprise,Order Transaction Request,Singapore,20147.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,10050.0
<VL APOC Enterprise>,Revenue Unknown,Enterprise,Order Transaction Request,Singapore,18637.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Germany,1805.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Russia,7810.0
<VL EOC Enterprise Orders and Adjustments>,Disputed Revenue,Enterprise,Order Transaction Request,Austria,6267.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,222.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Israel,1412.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Portugal,527.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Portugal,536.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Switzerland,493.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Czech Republic,13038.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,15970.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Russia,1881.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Russia,5916.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,France,317.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Egypt,399.0
