Days,Queue,RevenuType,Program,Reason,CountryProcessed
3.187164352,<MPSA AOC L2 Query>,Non-revenue,MPSA Commercial,Order Transaction Request,United States
11.904988426,<VL AOC Broken Pending Notification>,Current Revenue,Enterprise,Order Transaction Request,Ecuador
8.186701389,<VL AOC Broken Pending Notification>,Non-revenue,Enterprise,Order Transaction Request,United States
9.516064815,<VL AOC Broken Pending Notification>,Non-revenue,Enterprise,Order Transaction Request,United States
11.026250000,<VL AOC Broken Pending Notification>,Non-revenue,Enterprise,Order Transaction Request,Mexico
10.138298611,<VL AOC Broken Pending Notification>,Revenue Unknown,Enterprise,Order Transaction Request,Canada
6.939699074,<VL AOC Broken Pending Notification>,Current Revenue,Enterprise,Order Transaction Request,United States
2.108622685,<VL AOC Broken Pending Notification>,Current Revenue,Enterprise,Order Transaction Request,Canada
1.035509259,<VL AOC Broken Pending Notification>,Future Billing,Enterprise,Order Transaction Request,United States
0.129583333,<VL AOC CASA/Select>,Non-revenue,OV/OVS,Order Transaction Request,United States
7.866979167,<VL AOC E&E Core Processing>,Current Revenue,Enterprise,Order Transaction Request,United States
0.859351852,<VL AOC E&E Core Processing>,Future Billing,Enterprise,Order Transaction Request,United States
13.920324074,<VL AOC E&E Core Processing>,Current Revenue,Enterprise,Order Transaction Request,United States
14.473796296,<VL AOC E&E Core Processing>,Non-revenue,Enterprise,Order Transaction Request,United States
5.931631944,<VL AOC E&E Core Processing>,Current Revenue,Enterprise,Order Transaction Request,Brazil
1.021701389,<VL AOC E&E Core Processing>,Current Revenue,Enterprise,Order Transaction Request,United States
7.169907407,<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,Canada
14.083865741,<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,United States
12.014629630,<VL AOC E&E EA Core Processing>,Non-revenue,Enterprise,Order Transaction Request,United States
8.112986111,<VL AOC E&E EA Core Processing>,Future Billing,Enterprise,Order Transaction Request,United States
13.905717593,<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,United States
7.609861111,<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,United States
11.401168981,<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,United States
3.210162037,<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,Brazil
1.306215278,<VL AOC E&E EA Core Processing>,Future Billing,Enterprise,Order Transaction Request,United States
14.050439815,<VL AOC E&E EA Core Processing>,Non-revenue,Enterprise,Order Transaction Request,United States
9.750300926,<VL AOC E&E EA Core Processing>,Current Revenue,Enterprise,Order Transaction Request,Costa Rica
